name,group,value,label
Kuwait,HIC,5.72,yes
Antigua & Barbuda,HIC,5.5,
Barbados,HIC,4.75,
New Zealand,HIC,3.68,
Ireland,HIC,3.58,yes
Bahamas,HIC,3.25,
Norway,HIC,2.8,
United States,HIC,2.58,
Denmark,HIC,2.34,
Canada,HIC,2.33,
Australia,HIC,2.23,
Italy,HIC,2.23,
Portugal,HIC,2.21,
Finland,HIC,2.13,
Spain,HIC,2.13,
Israel,HIC,2.12,
Netherlands,HIC,2.12,
Germany,HIC,2.11,
Cocos Islands,HIC,2.1,
Christmas Island,HIC,2.1,
Niue,HIC,2.1,
Falkland Islands,HIC,2.1,
Saint Pierre,HIC,2.1,
Anguilla,HIC,2.1,
Dhekelia,HIC,2.1,
Turks and Caicos Islands,HIC,2.1,
British Virgin Islands,HIC,2.1,
Gibraltar,HIC,2.1,
Monaco,HIC,2.1,
"Saint Maarten, DWI",HIC,2.1,
Faroe Islands,HIC,2.1,
Cayman Islands,HIC,2.1,
Guernsey,HIC,2.1,
Greenland,HIC,2.1,
Bermuda,HIC,2.1,
Isle of Man,HIC,2.1,
Jersey,HIC,2.1,
Northern Mariana Islands,HIC,2.1,
USVI,HIC,2.1,yes
Aruba,HIC,2.1,
Curacao,HIC,2.1,
Channel Islands,HIC,2.1,
Guam,HIC,2.1,
Netherlands Antilles,HIC,2.1,
New Caledonia,HIC,2.1,
French Polynesia,HIC,2.1,
Martinique,HIC,2.1,
Croatia8,HIC,2.1,
Uruguay8,HIC,2.1,
Puerto Rico,HIC,2.1,
Venezuela8,HIC,2.1,
Taiwan,HIC,2.1,
Cyprus,HIC,2.07,
Greece,HIC,2,
Hong Kong,HIC,1.99,
France,HIC,1.92,
United Kingdom,HIC,1.79,
Malta,HIC,1.78,
Japan,HIC,1.71,
United Arab Emirates,HIC,1.66,
Sweden,HIC,1.61,
Iceland,HIC,1.56,
Singapore,HIC,1.49,
Macao,HIC,1.47,
Estonia,HIC,1.47,
Qatar,HIC,1.33,
Belgium,HIC,1.33,
Saudi Arabia,HIC,1.3,
"Korea, South (Republic of Korea)",HIC,1.24,
Slovenia,HIC,1.21,
Bahrain,HIC,1.1,
Brunei,HIC,0.87,
Oman,HIC,0.7,
Comoros,LI,2.23,yes
Haiti,LI,1,
Madagascar,LI,0.8,
Guinea-Bissau,LI,0.6,
Cambodia,LI,0.6,
Guinea,LI,0.6,
Liberia,LI,0.6,
Somalia,LI,0.6,
"Korea, North",LI,0.6,yes
Benin,LI,0.54,
The Gambia,LI,0.53,
Togo,LI,0.52,
Mauritania,LI,0.5,
"Congo, Dem rep. of",LI,0.5,
Eritrea,LI,0.5,
Sierra Leone,LI,0.45,
Burma/Myanmar,LI,0.44,
Bangladesh,LI,0.43,
Kenya,LI,0.3,
Tanzania,LI,0.26,
Mozambique,LI,0.14,
Guyana,LMI,5.33,
Sri Lanka,LMI,5.1,
Tonga,LMI,3.71,
Vanuatu,LMI,3.28,
Maldives,LMI,2.48,
Guatemala,LMI,2,yes
Georgia,LMI,1.69,
Morocco,LMI,1.46,
Honduras,LMI,1.45,
Syria,LMI,1.37,
Egypt,LMI,1.37,
Ecuador,LMI,1.13,
El Salvador,LMI,1.13,
Nicaragua,LMI,1.1,
Tokelau,LMI,0.79,
Norfolk Island,LMI,0.79,
Svalbard,LMI,0.79,
Kiribati,LMI,0.79,
Micronesia,LMI,0.79,
Sao Tome and Principe8,LMI,0.79,
Samoa,LMI,0.79,
Solomon Islands8,LMI,0.79,
Djibouti,LMI,0.79,
Iraq,LMI,0.79,
East Timor,LMI,0.79,
Sudan,LMI,0.79,
Papua New Guinea,LMI,0.79,
Palestine (Gaza Strip is only part on the coast),LMI,0.79,
Yemen,LMI,0.79,
Cote d'Ivoire8,LMI,0.79,
Ukraine,LMI,0.79,
Ghana8,LMI,0.79,
Senegal8,LMI,0.79,
Pakistan8,LMI,0.79,
Nigeria8,LMI,0.79,
Vietnam8,LMI,0.79,yes
Cameroon,LMI,0.77,
Albania,LMI,0.77,
Congo Rep of,LMI,0.53,
Indonesia,LMI,0.52,
Cape Verde,LMI,0.5,
Philippines,LMI,0.5,
Angola,LMI,0.48,
India,LMI,0.34,
Saint Kitts and Nevis,UMI,5.45,
Saint Lucia,UMI,4.35,
Seychelles,UMI,2.98,
Belize,UMI,2.87,
Grenada,UMI,2.71,
Mauritius,UMI,2.3,
Fiji,UMI,2.1,
South Africa,UMI,2,yes
Turkey,UMI,1.77,
Saint Vincent and the Grenadines,UMI,1.7,
Malaysia,UMI,1.52,
Suriname,UMI,1.36,
Costa Rica,UMI,1.36,
Bulgaria,UMI,1.28,
Dominica,UMI,1.24,
Mexico,UMI,1.24,yes
Argentina,UMI,1.22,
Panama,UMI,1.21,
Montserrat,UMI,1.2,
Saint Helena,UMI,1.2,
Tuvalu,UMI,1.2,
Nauru,UMI,1.2,
Cook Islands,UMI,1.2,
Palau,UMI,1.2,
Jordan8,UMI,1.2,
Marshall Islands,UMI,1.2,
Namibia8,UMI,1.2,
French Guiana,UMI,1.2,
Montenegro,UMI,1.2,
Equatorial Guinea,UMI,1.2,
Guadeloupe,UMI,1.2,
Bosnia and Herzegovina,UMI,1.2,
Reunion,UMI,1.2,
Libya,UMI,1.2,
Tunisia8,UMI,1.2,
Colombia8,UMI,1.2,
Dominican Republic8,UMI,1.2,
Iran8,UMI,1.2,
Peru8,UMI,1.2,
Algeria8,UMI,1.2,
Thailand8,UMI,1.2,
Lebanon,UMI,1.18,
Lithuania,UMI,1.1,
China,UMI,1.1,
Chile,UMI,1.08,
Romania,UMI,1.04,
Latvia,UMI,1.03,
Brazil,UMI,1.03,
Russia,UMI,0.93,
Poland,UMI,0.88,
Cuba,UMI,0.81,
Gabon,UMI,0.45,
Jamaica,UMI,0.18,yes
