year,name,born,generation,Female,Male
1982,69,1913,greatest,10709.067,8541.3
1982,70,1912,greatest,10227.98,7991.028
1982,71,1911,greatest,9589.654,7339.81
1982,72,1910,greatest,8986.083,6722.71
1982,73,1909,other,8386.359,6116.152
1982,74,1908,other,7776.953,5532.369
1982,75,1907,other,7172.668,4992.103
1982,76,1906,other,6574.097,4486.293
1982,77,1905,other,5969.759,3986.858
1982,78,1904,other,5365.546,3501.915
1982,79,1903,other,4787.098,3045.001
1982,80,1902,other,26273.983,13922.061
1983,0,1983,millennial,58729,61337.754
1983,1,1982,millennial,56769.598,59335.262
1983,2,1981,millennial,55185.832,57716.263
1983,3,1980,x,53597.63,55962.858
1983,4,1979,x,52922.775,55319.749
1983,5,1978,x,52415.889,54839.288
1983,6,1977,x,52041.682,54484.738
1983,7,1976,x,51764.912,54219.268
1983,8,1975,x,51574.559,54035.973
1983,9,1974,x,51459.459,53927.553
1983,10,1973,x,51263.094,53708.813
1983,11,1972,x,50901.756,53283.652
1983,12,1971,x,50412.804,52704.324
1983,13,1970,x,49934.719,52134.503
1983,14,1969,x,49460.453,51559.695
1983,15,1968,x,48813.404,50831.756
1983,16,1967,x,47926.027,49899.051
1983,17,1966,x,46872.004,48821.334
1983,18,1965,x,45809.869,47728.736
1983,19,1964,boomer,44728.602,46617.844
1983,20,1963,boomer,43617.09,45463.492
1983,21,1962,boomer,42492.496,44273.635
1983,22,1961,boomer,41372.107,43074.337
1983,23,1960,boomer,40217.386,41842.131
1983,24,1959,boomer,38989.842,40531.914
1983,25,1958,boomer,37985.378,39460.385
1983,26,1957,boomer,37332.739,38766.95
1983,27,1956,boomer,36881.904,38289.508
1983,28,1955,boomer,36389.15,37767.642
1983,29,1954,boomer,35945.331,37302.682
1983,30,1953,boomer,35199.656,36500.703
1983,31,1952,boomer,33966.431,35155.107
1983,32,1951,boomer,32427.906,33472.022
1983,33,1950,boomer,30973.072,31880.789
1983,34,1949,boomer,29549.41,30315.395
1983,35,1948,boomer,28188.397,28856.884
1983,36,1947,boomer,26953.046,27595.432
1983,37,1946,boomer,25836.441,26498.492
1983,38,1945,silent,24725.21,25399.715
1983,39,1944,silent,23589.964,24279.919
1983,40,1943,silent,22788,23481.548
1983,41,1942,silent,22469.244,23141.694
1983,42,1941,silent,22461.442,23096.032
1983,43,1940,silent,22458.238,23057.895
1983,44,1939,silent,22540.06,23102.181
1983,45,1938,silent,22431.419,22953.338
1983,46,1937,silent,21970.425,22450.829
1983,47,1936,silent,21291.502,21726.111
1983,48,1935,silent,20680.065,21058.791
1983,49,1934,silent,20065.701,20377.918
1983,50,1933,silent,19540.078,19775.779
1983,51,1932,silent,19173.131,19321.469
1983,52,1931,silent,18899.719,18948.057
1983,53,1930,silent,18584.466,18531.14
1983,54,1929,silent,18253.972,18109.604
1983,55,1928,silent,17870.492,17577.175
1983,56,1927,other,17401.444,16872.954
1983,57,1926,other,16867.974,16056.96
1983,58,1925,other,16347.03,15259.935
1983,59,1924,greatest,15851.195,14467.389
1983,60,1923,greatest,15250.938,13676.367
1983,61,1922,greatest,14498.443,12902.328
1983,62,1921,greatest,13664.464,12151.243
1983,63,1920,greatest,12840.199,11396.835
1983,64,1919,greatest,11974.692,10624.288
1983,65,1918,greatest,11320.512,9977.628
1983,66,1917,greatest,11002.257,9519.514
1983,67,1916,greatest,10891.43,9180.308
1983,68,1915,greatest,10744.336,8836.411
1983,69,1914,greatest,10621.017,8523.078
1983,70,1913,greatest,10361.589,8122.729
1983,71,1912,greatest,9865.647,7567.689
1983,72,1911,greatest,9215.683,6917.687
1983,73,1910,greatest,8601.342,6302.835
1983,74,1909,other,7992.495,5700.522
1983,75,1908,other,7376.115,5123.632
1983,76,1907,other,6767.238,4592.789
1983,77,1906,other,6166.661,4098.956
1983,78,1905,other,5562.686,3613.573
1983,79,1904,other,4960.718,3143.974
1983,80,1903,other,27322.106,14512.586
1984,0,1984,millennial,60440.815,63245.775
1984,1,1983,millennial,58050.623,60729.527
1984,2,1982,millennial,56111.535,58693.316
1984,3,1981,millennial,54574.769,57084.565
1984,4,1980,x,53315.395,55712.377
1984,5,1979,x,52604.75,55004.183
1984,6,1978,x,52094.902,54502.504
1984,7,1977,x,51743.825,54161.903
1984,8,1976,x,51509.457,53937.005
1984,9,1975,x,51382.139,53822.008
1984,10,1974,x,51351.973,53810.955
1984,11,1973,x,51215.516,53660.675
1984,12,1972,x,50866.093,53246.628
1984,13,1971,x,50358.502,52642.088
1984,14,1970,x,49871.881,52060.794
1984,15,1969,x,49391.412,51479.219
1984,16,1968,x,48738.653,50742.852
1984,17,1967,x,47849.331,49802.162
1984,18,1966,x,46795.535,48716.845
1984,19,1965,x,45730.764,47614.31
1984,20,1964,boomer,44645.011,46491.264
1984,21,1963,boomer,43530.249,45329.453
1984,22,1962,boomer,42404.861,44139.918
1984,23,1961,boomer,41285.216,42946.045
1984,24,1960,boomer,40130.866,41718.424
1984,25,1959,boomer,38903.633,40412.843
1984,26,1958,boomer,37899.82,39346.259
1984,27,1957,boomer,37248.127,38657.449
1984,28,1956,boomer,36798.438,38184.319
1984,29,1955,boomer,36306.924,37667.143
1984,30,1954,boomer,35864.442,37207.381
1984,31,1953,boomer,35120.034,36408.4
1984,32,1952,boomer,33887.985,35062.413
1984,33,1951,boomer,32350.465,33376.678
1984,34,1950,boomer,30896.468,31782.585
1984,35,1949,boomer,29473.34,30213.316
1984,36,1948,boomer,28112.736,28752.224
1984,37,1947,boomer,26877.679,27490.602
1984,38,1946,boomer,25761.072,26394.606
1984,39,1945,silent,24649.523,25295.852
1984,40,1944,silent,23513.859,24175.9
1984,41,1943,silent,22710.021,23374.296
1984,42,1942,silent,22387.345,23026.583
1984,43,1941,silent,22374.286,22970.07
1984,44,1940,silent,22365.614,22920.981
1984,45,1939,silent,22441.323,22953.45
1984,46,1938,silent,22327.382,22794.231
1984,47,1937,silent,21862.461,22284.083
1984,48,1936,silent,21180.392,21553.337
1984,49,1935,silent,20565.217,20879.222
1984,50,1934,silent,19946.714,20191.548
1984,51,1933,silent,19416.182,19580.844
1984,52,1932,silent,19043.153,19115.191
1984,53,1931,silent,18762.744,18728.73
1984,54,1930,silent,18440.372,18299.13
1984,55,1929,silent,18102.709,17864.775
1984,56,1928,silent,17710.976,17320.674
1984,57,1927,other,17232.208,16606.76
1984,58,1926,other,16688.091,15782.384
1984,59,1925,other,16156.031,14976.527
1984,60,1924,greatest,15647.91,14174.669
1984,61,1923,greatest,15037.65,13375.564
1984,62,1922,greatest,14279.032,12595.241
1984,63,1921,greatest,13440.927,11838.721
1984,64,1920,greatest,12611.75,11079.113
1984,65,1919,greatest,11741.966,10302.844
1984,66,1918,greatest,11078.234,9647.629
1984,67,1917,greatest,10742.135,9173.251
1984,68,1916,greatest,10608.333,8813.512
1984,69,1915,greatest,10439.579,8450.993
1984,70,1914,greatest,10294.75,8119.632
1984,71,1913,greatest,10016.226,7706.338
1984,72,1912,greatest,9505.239,7146.402
1984,73,1911,greatest,8843.535,6497.424
1984,74,1910,greatest,8218.312,5884.671
1984,75,1909,other,7600.202,5286.41
1984,76,1908,other,6976.732,4716.266
1984,77,1907,other,6363.135,4194.699
1984,78,1906,other,5760.446,3712.72
1984,79,1905,other,5156.719,3241.252
1984,80,1904,other,28164.317,14855.662
1985,0,1985,millennial,61995.373,64997.826
1985,1,1984,millennial,59347.853,62160.704
1985,2,1983,millennial,57178.261,59844.567
1985,3,1982,millennial,55437.768,57995.342
1985,4,1981,millennial,54077.514,56558.901
1985,5,1980,x,53048.783,55481.305
1985,6,1979,x,52302.587,54708.209
1985,7,1978,x,51790.118,54185.631
1985,8,1977,x,51462.588,53859.476
1985,9,1976,x,51271.147,53675.652
1985,10,1975,x,51207.363,53629.541
1985,11,1974,x,51262.786,53716.534
1985,12,1973,x,51186.623,53635.145
1985,13,1972,x,50849.267,53232.325
1985,14,1971,x,50323.031,52602.431
1985,15,1970,x,49827.8,52009.572
1985,16,1969,x,49341.075,51421.077
1985,17,1968,x,48682.385,50675.961
1985,18,1967,x,47790.677,49726.828
1985,19,1966,x,46736.476,48633.257
1985,20,1965,x,45668.493,47520.134
1985,21,1964,boomer,44577.556,46384.239
1985,22,1963,boomer,43458.978,45214.31
1985,23,1962,boomer,42332.183,44024.439
1985,24,1961,boomer,41212.777,42835.419
1985,25,1960,boomer,40058.285,41611.772
1985,26,1959,boomer,38830.804,40310.148
1985,27,1958,boomer,37827.222,39248.003
1985,28,1957,boomer,37176.353,38563.671
1985,29,1956,boomer,36727.821,38094.832
1985,30,1955,boomer,36237.594,37582.339
1985,31,1954,boomer,35796.466,37127.783
1985,32,1953,boomer,35053.222,36331.582
1985,33,1952,boomer,33821.896,34984.608
1985,34,1951,boomer,32284.779,33295.398
1985,35,1950,boomer,30831.02,31697.655
1985,36,1949,boomer,29407.902,30123.814
1985,37,1948,boomer,28047.133,28659.416
1985,38,1947,boomer,26811.844,27397.025
1985,39,1946,boomer,25694.777,26301.547
1985,40,1945,silent,24582.421,25202.276
1985,41,1944,silent,23445.81,24081.668
1985,42,1943,silent,22639.741,23276.487
1985,43,1942,silent,22313.002,22920.873
1985,44,1941,silent,22294.657,22853.58
1985,45,1940,silent,22280.478,22793.633
1985,46,1939,silent,22350.13,22814.423
1985,47,1938,silent,22230.766,22644.787
1985,48,1937,silent,21761.789,22126.783
1985,49,1936,silent,21076.371,21389.572
1985,50,1935,silent,20457.203,20708.273
1985,51,1934,silent,19834.396,20013.405
1985,52,1933,silent,19298.739,19393.79
1985,53,1932,silent,18919.464,18916.559
1985,54,1931,silent,18631.889,18516.891
1985,55,1930,silent,18302.238,18074.402
1985,56,1929,silent,17957.228,17627.041
1985,57,1928,silent,17557.051,17071.039
1985,58,1927,other,17068.379,16347.03
1985,59,1926,other,16513.427,15513.878
1985,60,1925,other,15970.062,14698.788
1985,61,1924,greatest,15449.448,13887.213
1985,62,1923,greatest,14829.009,13079.67
1985,63,1922,greatest,14064.074,12292.781
1985,64,1921,greatest,13221.627,11530.58
1985,65,1920,greatest,12387.354,10765.566
1985,66,1919,greatest,11513.109,9985.34
1985,67,1918,greatest,10839.627,9321.327
1985,68,1917,greatest,10485.495,8830.503
1985,69,1916,greatest,10328.61,8450.013
1985,70,1915,greatest,10137.999,8068.675
1985,71,1914,greatest,9971.564,7719.063
1985,72,1913,greatest,9673.732,7292.66
1985,73,1912,greatest,9147.551,6727.565
1985,74,1911,greatest,8473.901,6079.385
1985,75,1910,greatest,7837.603,5468.464
1985,76,1909,other,7210.027,4874.049
1985,77,1908,other,6579.32,4310.44
1985,78,1907,other,5960.795,3797.937
1985,79,1906,other,5355.827,3327.64
1985,80,1905,other,28823.3,14936.309
1986,0,1986,millennial,63296.428,66487.212
1986,1,1985,millennial,61264.167,64246.25
1986,2,1984,millennial,58895.048,61701.413
1986,3,1983,millennial,56920.311,59588.647
1986,4,1982,millennial,55303.629,57867.227
1986,5,1981,millennial,54008.646,56496.398
1986,6,1980,x,52988.019,55423.545
1986,7,1979,x,52194.126,54595.657
1986,8,1978,x,51646.435,54032.363
1986,9,1977,x,51331.03,53717
1986,10,1976,x,51178.064,53572.725
1986,11,1975,x,51123.96,53535.57
1986,12,1974,x,51172.019,53613.792
1986,13,1973,x,51087.748,53521.661
1986,14,1972,x,50744.406,53108.305
1986,15,1971,x,50213.431,52468.062
1986,16,1970,x,49710.823,51862.472
1986,17,1969,x,49214.78,51259.17
1986,18,1968,x,48549.591,50503.858
1986,19,1967,x,47656.084,49552.163
1986,20,1966,x,46603.442,48461.301
1986,21,1965,x,45536.467,47350.222
1986,22,1964,boomer,44446.222,46216.133
1986,23,1963,boomer,43330.703,45050.438
1986,24,1962,boomer,42210.218,43867.707
1986,25,1961,boomer,41098.969,42687.434
1986,26,1960,boomer,39952.7,41472.845
1986,27,1959,boomer,38734.3,40181.335
1986,28,1958,boomer,37736.272,39125.263
1986,29,1957,boomer,37085.153,38440.495
1986,30,1956,boomer,36632.698,37967.03
1986,31,1955,boomer,36139.003,37450.359
1986,32,1954,boomer,35693.749,36990.926
1986,33,1953,boomer,34948.298,36191.664
1986,34,1952,boomer,33718.194,34845.049
1986,35,1951,boomer,32184.358,33158.232
1986,36,1950,boomer,30732.862,31561.62
1986,37,1949,boomer,29311.654,29988.145
1986,38,1948,boomer,27951.608,28523.467
1986,39,1947,boomer,26715.166,27259.838
1986,40,1946,boomer,25595.555,26162.135
1986,41,1945,silent,24480.524,25060.197
1986,42,1944,silent,23341.018,23936.78
1986,43,1943,silent,22531.039,23126.02
1986,44,1942,silent,22199.177,22760.917
1986,45,1941,silent,22174.837,22681.517
1986,46,1940,silent,22154.168,22609.034
1986,47,1939,silent,22216.628,22616.249
1986,48,1938,silent,22090.568,22434.413
1986,49,1937,silent,21615.991,21907.009
1986,50,1936,silent,20925.458,21161.941
1986,51,1935,silent,20300.505,20472.02
1986,52,1934,silent,19671.581,19768.738
1986,53,1933,silent,19128.617,19138.244
1986,54,1932,silent,18740.267,18646.233
1986,55,1931,silent,18442.349,18229.513
1986,56,1930,silent,18102.169,17770.623
1986,57,1929,silent,17746.364,17306.855
1986,58,1928,silent,17334.801,16736.47
1986,59,1927,other,16834.178,16001.416
1986,60,1926,other,16266.878,15159.588
1986,61,1925,other,15710.701,14335.724
1986,62,1924,greatest,15176.646,13515.482
1986,63,1923,greatest,14543.652,12700.693
1986,64,1922,greatest,13767.797,11908.277
1986,65,1921,greatest,12915.253,11141.683
1986,66,1920,greatest,12070.888,10373.335
1986,67,1919,greatest,11187.635,9591.817
1986,68,1918,greatest,10501.644,8923.218
1986,69,1917,greatest,10129.525,8422.11
1986,70,1916,greatest,9951.723,8028.618
1986,71,1915,greatest,9742.141,7636.748
1986,72,1914,greatest,9558.089,7277.865
1986,73,1913,greatest,9245.881,6848.09
1986,74,1912,greatest,8710.146,6288.246
1986,75,1911,greatest,8031.199,5651.877
1986,76,1910,greatest,7390.922,5053.708
1986,77,1909,other,6762.381,4473.892
1986,78,1908,other,6136.188,3929.491
1986,79,1907,other,5529.09,3441.626
1986,80,1906,other,30591.487,16078.272
1987,0,1987,millennial,64460.816,67842.208
1987,1,1986,millennial,61844.196,64974.141
1987,2,1985,millennial,60570.359,63536.206
1987,3,1984,millennial,58476.941,61280.656
1987,4,1983,millennial,56694.86,59368.812
1987,5,1982,millennial,55200.282,57773.27
1987,6,1981,millennial,53969.309,56466.639
1987,7,1980,x,52955.886,55397.456
1987,8,1979,x,52113.702,54514.089
1987,9,1978,x,51530.513,53909.652
1987,10,1977,x,51227.11,53604.927
1987,11,1976,x,51112.7,53500.229
1987,12,1975,x,51068.473,53472.167
1987,13,1974,x,51109.548,53542.014
1987,14,1973,x,51017.368,53439.253
1987,15,1972,x,50667.934,53015.181
1987,16,1971,x,50131.852,52364.094
1987,17,1970,x,49621.562,51745.42
1987,18,1969,x,49115.965,51126.893
1987,19,1968,x,48443.825,50360.922
1987,20,1967,x,47548.001,49406.068
1987,21,1966,x,46496.187,48317.257
1987,22,1965,x,45429.542,47207.454
1987,23,1964,boomer,44339.216,46074.466
1987,24,1963,boomer,43226.085,44912.272
1987,25,1962,boomer,42111.202,43735.981
1987,26,1961,boomer,41007.467,42563.743
1987,27,1960,boomer,39868.739,41357.526
1987,28,1959,boomer,38658.766,40075.386
1987,29,1958,boomer,37665.639,39024.737
1987,30,1957,boomer,37013.789,38338.924
1987,31,1956,boomer,36556.962,37860.297
1987,32,1955,boomer,36059.388,37338.934
1987,33,1954,boomer,35609.609,36874.109
1987,34,1953,boomer,34861.431,36071.165
1987,35,1952,boomer,33631.97,34724.21
1987,36,1951,boomer,32100.686,33038.963
1987,37,1950,boomer,30650.852,31442.731
1987,38,1949,boomer,29230.884,29868.865
1987,39,1948,boomer,27870.928,28403.186
1987,40,1947,boomer,26632.731,27137.723
1987,41,1946,boomer,25509.953,26037.195
1987,42,1945,silent,24391.693,24932.046
1987,43,1944,silent,23248.668,23805.253
1987,44,1943,silent,22434.349,22988.499
1987,45,1942,silent,22097.118,22613.737
1987,46,1941,silent,22066.65,22522.2
1987,47,1940,silent,22039.395,22437.226
1987,48,1939,silent,22094.575,22430.871
1987,49,1938,silent,21961.665,22236.703
1987,50,1937,silent,21481.177,21699.509
1987,51,1936,silent,20785.133,20945.977
1987,52,1935,silent,20154.052,20246.925
1987,53,1934,silent,19518.667,19534.66
1987,54,1933,silent,18968.004,18892.802
1987,55,1932,silent,18570.313,18385.687
1987,56,1931,silent,18261.812,17951.687
1987,57,1930,silent,17910.812,17476.108
1987,58,1929,silent,17543.957,16995.667
1987,59,1928,silent,17120.718,16410.616
1987,60,1927,other,16607.861,15664.065
1987,61,1926,other,16027.903,14813.062
1987,62,1925,other,15458.649,13979.978
1987,63,1924,greatest,14910.824,13150.618
1987,64,1923,greatest,14265.008,12328.14
1987,65,1922,greatest,13477.922,11529.829
1987,66,1921,greatest,12614.971,10758.466
1987,67,1920,greatest,11760.224,9986.424
1987,68,1919,greatest,10867.597,9203.305
1987,69,1918,greatest,10168.848,8529.764
1987,70,1917,greatest,9778.471,8018.091
1987,71,1916,greatest,9579.505,7611.331
1987,72,1915,greatest,9350.739,7208.698
1987,73,1914,greatest,9148.803,6840.334
1987,74,1913,greatest,8821.987,6406.909
1987,75,1912,greatest,8276.44,5852.054
1987,76,1911,greatest,7591.952,5227.196
1987,77,1910,greatest,6947.427,4641.501
1987,78,1909,other,6317.668,4075.987
1987,79,1908,other,5695.745,3550.557
1987,80,1907,other,32149.077,16997.434
1988,0,1988,millennial,65312.78,68870.756
1988,1,1987,millennial,62957.227,66260.029
1988,2,1986,millennial,60871.945,63961.464
1988,3,1985,millennial,59895.102,62846.219
1988,4,1984,millennial,58076.466,60878.96
1988,5,1983,millennial,56486.265,59167.176
1988,6,1982,millennial,55113.064,57696.762
1988,7,1981,millennial,53945.545,56453.61
1988,8,1980,x,52938.778,55387.526
1988,9,1979,x,52047.858,54448.125
1988,10,1978,x,51428.864,53802.211
1988,11,1977,x,51137.35,53507.946
1988,12,1976,x,51061.476,53442.789
1988,13,1975,x,51027.204,53423.891
1988,14,1974,x,51061.358,53485.396
1988,15,1973,x,50961.282,53372.022
1988,16,1972,x,50605.575,52936.982
1988,17,1971,x,50064.147,52274.796
1988,18,1970,x,49545.975,51642.719
1988,19,1969,x,49030.546,51008.713
1988,20,1968,x,48351.241,50231.761
1988,21,1967,x,47452.716,49273.452
1988,22,1966,x,46401.422,48186.288
1988,23,1965,x,45334.718,47077.441
1988,24,1964,boomer,44243.94,45945.151
1988,25,1963,boomer,43132.815,44786.107
1988,26,1962,boomer,42023.215,43615.839
1988,27,1961,boomer,40926.652,42451.372
1988,28,1960,boomer,39795.178,41253.126
1988,29,1959,boomer,38593.239,39980.034
1988,30,1958,boomer,37604.774,38934.455
1988,31,1957,boomer,36951.89,38247.327
1988,32,1956,boomer,36490.478,37763.256
1988,33,1955,boomer,35988.744,37236.924
1988,34,1954,boomer,35534.214,36766.451
1988,35,1953,boomer,34783.092,35959.584
1988,36,1952,boomer,33553.995,34611.972
1988,37,1951,boomer,32025.037,32928.016
1988,38,1950,boomer,30576.579,31331.852
1988,39,1949,boomer,29157.646,29757.313
1988,40,1948,boomer,27797.536,28290.395
1988,41,1947,boomer,26557.331,27022.819
1988,42,1946,boomer,25431.16,25919.256
1988,43,1945,silent,24309.393,24810.67
1988,44,1944,silent,23162.655,23680.258
1988,45,1943,silent,22343.724,22857.323
1988,46,1942,silent,22001.007,22472.787
1988,47,1941,silent,21964.282,22369.043
1988,48,1940,silent,21930.317,22271.452
1988,49,1939,silent,21978.116,22251.478
1988,50,1938,silent,21838.214,22044.86
1988,51,1937,silent,21351.645,21497.639
1988,52,1936,silent,20649.908,20735.372
1988,53,1935,silent,20012.494,20026.922
1988,54,1934,silent,19370.439,19305.422
1988,55,1933,silent,18811.961,18651.921
1988,56,1932,silent,18404.759,18129.574
1988,57,1931,silent,18085.49,17678.144
1988,58,1930,silent,17723.573,17185.741
1988,59,1929,silent,17345.475,16688.529
1988,60,1928,silent,16910.434,16088.593
1988,61,1927,other,16385.202,15330.416
1988,62,1926,other,15792.462,14470.041
1988,63,1925,other,15209.996,13627.519
1988,64,1924,greatest,14648.278,12788.837
1988,65,1923,greatest,13989.47,11958.497
1988,66,1922,greatest,13191.018,11154.076
1988,67,1921,greatest,12317.468,10377.816
1988,68,1920,greatest,11452.192,9601.87
1988,69,1919,greatest,10550.027,8816.946
1988,70,1918,greatest,9838.368,8138.314
1988,71,1917,greatest,9429.607,7615.972
1988,72,1916,greatest,9209.363,7195.849
1988,73,1915,greatest,8961.281,6782.317
1988,74,1914,greatest,8741.378,6404.366
1988,75,1913,greatest,8399.824,5967.188
1988,76,1912,greatest,7844.36,5417.182
1988,77,1911,greatest,7154.168,4803.71
1988,78,1910,greatest,6505.283,4230.349
1988,79,1909,other,5874.183,3679.021
1988,80,1908,other,33467.072,17657.092
1989,0,1989,millennial,65651.616,69354.159
1989,1,1988,millennial,63715.205,67174.437
1989,2,1987,millennial,61916.803,65165.086
1989,3,1986,millennial,60254.623,63321.901
1989,4,1985,millennial,59225.461,62160.2
1989,5,1984,millennial,57681.505,60481.215
1989,6,1983,millennial,56283.093,58969.43
1989,7,1982,millennial,55031.199,57624.071
1989,8,1981,millennial,53926.954,56444.341
1989,9,1980,x,52926.769,55381.271
1989,10,1979,x,51986.985,54385.746
