name,group,radius,value,label
SHANG PUDONG-A,Financials,48.18712986,3.146597431,
CHINA MINSHENG-A,Financials,37.33969306,3.146597431,
CITIC SECURITI-A,Financials,32.60020531,3.179098895,
CHINA MERCH BK-A,Financials,121.278423,3.141052802,
SAIC MOTOR-A,Consumer goods,42.08245146,1.812482875,
JIANGSU HENGRU-A,Health care,38.57949082,2.884157827,
KWEICHOW MOUTA-A,Consumer goods,160.9388196,3.074573943,
China Yangtze,Utilities,52.5834281,3.65,yes
INDUSTRIAL BAN-A,Financials,54.76627251,3.179098895,
IND & COMM BK-A,Financials,280.7109059,3.137037925,
CHINA PACIFIC-A,Financials,39.98931354,3.177916828,
CHINA STATE -A,Industrials,33.67009894,3.093640187,
CRRC CORP LTD-A,Industrials,32.00937165,1.81223037,
FOSHAN HAITIAN-A,Consumer goods,36.35676365,3.087921553,
RECRUIT HOLDINGS,Industrials,53.5995392,2.510282768,
JAPAN POST HOLDI,Financials,49.33798707,3.752394759,
DAIKIN INDS,Industrials,37.28052634,2.706470109,
HITACHI LTD,Industrials,32.3750441,3.573823504,
FORMOSA PETRO,Oil & gas,34.63930266,4.499754946,
NIDEC CORP,Industrials,39.13674342,1.730726305,
MTR CORP,Consumer services,38.29895987,4.311099006,
SONY CORP,Consumer goods,67.67274394,1.920846423,
KEYENCE CORP,Industrials,71.63676262,1.863879522,
CHINA OVERSEAS,Financials,39.43088128,3.081845164,
DENSO CORP,Consumer goods,30.92614349,1.75,
FANUC CORP,Industrials,34.5187328,1.75,
TENCENT,Technology,414.8075561,3.167937168,
JAPAN POST BANK,Financials,47.37916109,2.381411098,
TOYOTA MOTOR,Consumer goods,193.1403428,1.970922939,
HONDA MOTOR CO,Consumer goods,46.4807936,1.78441374,
CHINA TELECOM-H,Telecommunications,40.21100134,3.179098895,
CHINA UNICOM,Telecommunications,32.97791386,3.219756039,
CANON INC,Technology,38.6691031,1.45318504,
Nintendo,Consumer goods,45.6250327,1.656293624,yes
MITSUBISHI CORP,Industrials,42.29342003,4.378205111,
MITSUBISHI UFJ F,Financials,62.51948442,2.491717784,
SMFG,Financials,49.0367959,2.492382364,
MIZUHO FINANCIAL,Financials,36.56777728,2.452555587,
PETROCHINA-H,Oil & gas,181.7556255,4.886195574,
TOKIO MARINE HD,Financials,35.78652672,2.463089263,
CNOOC,Oil & gas,77.69720422,4.642968223,
EAST JAPAN RAIL,Consumer services,35.83803392,4.081915555,
CENTRAL JAPAN RL,Consumer services,42.24802816,4.143861713,
CCB-H,Financials,202.3122371,3.17090144,
CHINA MOBILE,Telecommunications,190.6819236,3.179098895,
NIPPON TELEGRAPH,Telecommunications,87.71203891,2.434983012,
KDDI CORP,Telecommunications,63.14511974,2.377467016,
NTT DOCOMO INC,Telecommunications,75.11604429,2.380463622,
CITIC BANK-H,Financials,37.47631104,3.165092875,
FAST RETAILING,Consumer services,62.47831962,2.474753235,
SOFTBANK GROUP C,Telecommunications,103.2087552,3.626467158,
Altaba,Financials,45.7855017,1.3,yes
ANGLO AMER PLC,Basic materials,31.72736,4.927445833,
APPLE INC,Technology,842.4108196,1.801487352,
ABB LTD-REG,Industrials,40.90359398,1.961016513,
ABBVIE INC,Health care,118.0004762,2.702436162,
AMBEV SA,Consumer goods,63.30222182,2.889772751,
ANHEUSER-BUSCH I,Consumer goods,164.2149806,2.872229672,
ABBOTT LABS,Health care,133.6720179,2.420476401,
CREDIT AGRICOLE,Financials,35.36471245,2.908432823,
ACCENTURE PLC-A,Industrials,114.0499579,2.788009822,
ADOBE INC,Technology,134.4060867,2.897592688,
ANALOG DEVICES,Technology,35.91064371,1.3,
AUTOMATIC DATA,Industrials,70.21972685,2.5575969,
ADIDAS AG,Consumer goods,56.0419881,2.565838467,
AUTODESK INC,Technology,37.56276122,2.640044873,
American Electri,Utilities,42.7315159,4.986642673,yes
AFLAC INC,Financials,38.88366797,2.429340493,
ALLERGAN PLC,Health care,45.49234688,2.389483932,
AIR LIQUIDE SA,Basic materials,54.17125888,4.120624561,
AMERICAN INTERNA,Financials,45.6011817,2.739562183,
AIRBUS SE,Industrials,103.2648458,2.00646279,
ALLSTATE CORP,Financials,31.95826995,2.545288088,
ALLIANZ SE-VINK,Financials,95.10877594,3.000072581,
APPLIED MATERIAL,Technology,38.30799155,1.3,
AMGEN INC,Health care,102.7070689,2.560182092,
AMADEUS IT GROUP,Technology,34.12714496,3.105955594,
AMERICAN TOWER C,Financials,87.63114291,2.533155215,
AMERICA MOVIL-L,Telecommunications,47.47195597,2.363261955,
AMAZON.COM INC,Consumer services,915.2300319,2.558689239,
ANTHEM INC,Health care,68.49378714,2.536416662,
AUST AND NZ BANK,Financials,54.26593792,2.143481006,
AON PLC,Financials,42.94033408,2.567141242,
AIRPORTS OF THAI,Industrials,30.07868928,4.479117737,
ANADARKO PETROLE,Oil & gas,36.52914381,4.848043169,
AIR PRODS & CHEM,Basic materials,45.21742746,4.157775763,
ASML HOLDING NV,Technology,81.27376589,1.3,
ATLAS COPCO-A,Industrials,33.61719296,1.759958998,
ALIMEN COUCHE-B,Consumer services,35.5023913,3.381941169,
ACTIVISION BLIZZ,Consumer goods,33.40555264,2.610351872,
BROADCOM INC,Technology,107.9035658,1.692419335,
AMERICAN EXPRESS,Financials,100.0760525,2.57015257,
ASTRAZENECA PLC,Health care,96.9858089,2.542592478,
BOEING CO/THE,Industrials,198.4903905,1.960579487,
ALIBABA GRP-ADR,Consumer services,415.3640878,3.177484969,
BANK OF AMERICA,Financials,270.0329779,2.553609465,
BROOKFIELD ASS-A,Financials,45.43936512,3.519539058,
BARCLAYS PLC,Financials,34.22313062,2.395633072,
BASF SE,Basic materials,63.36359629,4.074513996,
BRIT AMER TOBACC,Consumer goods,86.54308147,2.90574065,
BAXTER INTL INC,Health care,38.49735373,1.955639078,
Bayer,Health care,57.94260173,3.895808379,yes
BANCO DO BRASIL,Financials,32.57157222,1.998859955,
BANK CENTRAL ASI,Financials,45.77844019,1.970181956,
BRADESCO SA-PREF,Financials,62.37466214,2.004771762,
BANK RAKYAT INDO,Financials,31.92708096,1.973245921,
BB&T CORP,Financials,37.0245673,2.536416662,
BBVA,Financials,37.70671923,3.14045972,
BCE INC,Telecommunications,40.60284109,3.235699359,
BECTON DICKINSON,Health care,61.86570957,1.537462646,
BHP GROUP LTD,Basic materials,125.6526889,5.158743515,
BHP GROUP PLC,Basic materials,125.6686551,5.158743515,
BAIDU INC-SP ADR,Technology,41.06786816,3.169615437,
BIOGEN INC,Health care,44.74284032,2.57725683,
BANK NY MELLON,Financials,44.01707008,2.519143849,
BOOKING HOLDINGS,Consumer services,75.85639629,3.031673558,
BLACKROCK INC,Financials,68.1179177,2.491350791,
BANK OF MONTREAL,Financials,49.24765798,3.040730759,
BAYER MOTOREN WK,Consumer goods,47.04367002,1.95619606,
BRISTOL-MYER SQB,Health care,75.75040819,2.686770128,
DANONE,Consumer goods,53.93693491,2.968487073,
BNP PARIBAS,Financials,62.15818854,2.941553385,
BANK OF NOVA SCO,Financials,65.12796877,2.844090185,
BP PLC,Oil & gas,143.9086346,4.712365055,
BOSTON SCIENTIFC,Health care,51.85743258,1.632404732,
BLACKSTONE GROUP,Financials,49.89299098,2.536416662,
CITIGROUP INC,Financials,150.2179,2.583659588,
CATERPILLAR INC,Industrials,70.01472205,1.738363833,
CHUBB LTD,Financials,66.73465754,2.572844895,
COMMONW BK AUSTR,Financials,94.19887411,2.089944498,
CROWN CASTLE INT,Financials,51.33988659,2.536416662,
Carnival,Consumer services,35.78846003,4.704330657,yes
CARNIVAL CORP,Consumer services,35.86739405,4.704330657,
CHRISTIAN DIOR,Consumer goods,85.2179927,2.787276553,
CELGENE CORP,Health care,66.87976243,2.581690362,
CIE FINANCI-REG,Consumer goods,41.68249754,2.590688185,
CHARTER COMMUN-A,Consumer services,94.02739917,2.536416662,
COLGATE-PALMOLIV,Consumer goods,61.55551949,2.954097305,
CAN IMPL BK COMM,Financials,36.6385193,3.125949844,
COMCAST CORP-A,Consumer services,194.1694874,2.540298392,
CME GROUP INC,Financials,66.45448704,2.970922414,
CAN NATURAL RES,Oil & gas,32.75344691,4.454659171,
CAN NATL RAILWAY,Industrials,68.20662886,4.858086264,
CAPITAL ONE FINA,Financials,42.91172762,2.534586304,
CONOCOPHILLIPS,Oil & gas,70.57948672,4.734659571,
COSTCO WHOLESALE,Consumer services,109.4861947,2.560210126,
CANADIAN PACIFIC,Industrials,32.10801562,4.866671077,
COMPASS GROUP,Consumer services,36.3281408,2.571828539,
SALESFORCE.COM,Technology,120.8491295,2.551545011,
AXA,Financials,60.55041434,2.567416279,
CISCO SYSTEMS,Technology,246.5575731,1.812950415,
CREDIT SUISS-REG,Financials,30.06849229,2.408587242,
CSL LTD,Health care,64.28701491,2.5686975,
CSX CORP,Industrials,63.16331418,4.719343033,
COGNIZANT TECH-A,Technology,34.15128269,2.536473965,
CVS HEALTH CORP,Consumer services,68.85188403,2.536416662,
CHEVRON CORP,Oil & gas,230.1684941,4.85861888,
DOMINION ENERGY,Utilities,61.01980774,4.21562483,
DAIMLER AG,Consumer goods,62.25175347,1.866896458,
DELTA AIR LI,Consumer services,35.53420083,4.608935792,
DBS GROUP HLDGS,Financials,48.02430566,2.114313873,
DEERE & CO,Industrials,43.11446323,1.816390079,
VINCI SA,Industrials,59.33071565,4.376720233,
DOLLAR GENERAL C,Consumer services,31.05472922,2.536416662,
DIAGEO PLC,Consumer goods,100.9333862,2.886171269,
DANAHER CORP,Industrials,93.30047386,1.694590935,
WALT DISNEY CO,Consumer services,240.9976791,2.580717861,
DEUTSCHE POST-RG,Industrials,38.09032192,4.992464622,
DASSAULT SYSTEME,Technology,40.3239977,2.5740103,
DEUTSCHE TELEKOM,Telecommunications,80.97941914,3.10208494,
DUKE ENERGY CORP,Utilities,63.30687898,4.422641049,
DOWDUPONT INC,Basic materials,69.7054167,4.131243147,
EBAY INC,Consumer services,31.86304205,2.557717787,
ECOLAB INC,Basic materials,52.16318259,4.00794664,
ECOPETROL,Oil & gas,37.64636058,5.178355753,
EDF,Utilities,42.00389018,3.820768928,
ISHARES MSCI EAF,Financials,63.29380454,2.491350791,
ESSILORLUXOTTICA,Health care,52.70505062,1.913768036,
ESTEE LAUDER,Consumer goods,60.57023078,2.942670294,
EMERSON ELEC CO,Industrials,39.3001984,1.75,
ENBRIDGE INC,Oil & gas,76.19843686,4.390991833,
ENEL SPA,Utilities,64.47205581,4.358970128,
ENGIE,Utilities,36.7899689,4.586280671,
ENI SPA,Oil & gas,58.38912307,5.153897817,
EOG RESOURCES,Oil & gas,54.36481126,4.646816381,
ENTERPRISE PRODU,Oil & gas,62.57095066,4.440886984,
EQUINIX INC,Financials,40.36370432,2.798172984,
EQUINOR ASA,Oil & gas,69.86339942,4.444548335,
ERICSSON LM-B,Technology,31.80458598,2.201690112,
ENERGY TRANSFER,Oil & gas,38.58776883,4.590136995,
Etisalat,Telecommunications,36.55809434,4.243524205,yes
EATON CORP PLC,Industrials,33.17950259,1.569737551,
EDWARDS LIFE,Health care,36.02490573,1.496319867,
EXELON CORP,Utilities,47.45975808,3.728026569,
FORD MOTOR CO,Consumer goods,41.0125312,1.823684893,
First Abe Dhabi,Financials,41.26588518,4.436919847,yes
FACEBOOK INC-A,Technology,521.6107889,2.925144831,
FEDEX CORP,Industrials,43.83125504,4.871542272,
FOMENTO ECON-UBD,Consumer goods,31.82768947,2.725798356,
FIDELITY NATIONA,Industrials,38.29195162,3.393936095,
FISERV INC,Industrials,34.21290496,3.67115549,
TOTAL SA,Oil & gas,145.752834,5.008526235,
GAZPROM,Oil & gas,73.64277043,5.046329217,
GENERAL DYNAMICS,Industrials,48.90313933,1.934933305,
GENERAL ELECTRIC,Industrials,86.16158003,1.629172196,
GILEAD SCIENCES,Health care,83.74458778,2.571908868,
GENERAL MILLS IN,Consumer goods,31.56225638,2.897732066,
GLENCORE PLC,Basic materials,47.7007913,5.553415068,
GENERAL MOTORS C,Consumer goods,52.43798323,1.812946181,
NORILSK NICKEL,Basic materials,32.74737459,4.528955247,
ALPHABET INC-A,Technology,792.5145272,2.916123313,
GOLDMAN SACHS GP,Financials,75.03802368,2.592234896,
GLAXOSMITHKLINE,Health care,98.23494963,3.013468655,
HCA HEALTHCARE I,Health care,43.02461747,2.522951937,
HOME DEPOT INC,Consumer services,210.568446,2.543985153,
HOUSING DEV FIN,Financials,49.20424448,3.111484251,
HDFC BANK LTD,Financials,92.28597658,3.109427703,
HEINEKEN NV,Consumer goods,62.21827277,2.935704348,
HONEYWELL INTL,Industrials,122.7118592,2.849793417,
HSBC HOLDINGS PL,Financials,167.009665,2.430051548,
HUMANA INC,Health care,33.76280576,2.536416662,
HINDUSTAN UNILEV,Consumer goods,53.90291763,2.888627855,
IBERDROLA SA,Utilities,59.40086374,4.190148077,
IBM,Technology,119.8031831,2.614914687,
INTERCONTINENTAL,Financials,45.72945203,2.589528333,
ICICI BANK LTD,Financials,36.02807603,3.100511339,
ILLUMINA INC,Health care,44.1867305,2.628793388,
ING GROEP NV,Financials,43.21234125,3.183304913,
INTEL CORP,Technology,195.018113,1.464774139,
INTUIT INC,Technology,63.13349939,2.536416662,
INVESTOR AB-B,Financials,34.41063526,2.456285024,
INTESA SANPAOLO,Financials,38.59931955,3.42469678,
Intuitive Surgic,Health care,55.78710221,1.3,yes
ITC LTD,Consumer goods,52.96639181,2.800737079,
ILLINOIS TOOL WO,Industrials,48.67731866,3.570638657,
INDITEX,Consumer services,86.66404454,2.771497208,
ISHARES-C S&P500,Financials,176.7600456,2.491350791,
JOHNSON CONTROLS,Industrials,35.10550528,1.869425438,
JD.COM INC-ADR,Consumer services,41.23457946,3.142915708,
JARDINE MATHESON,Industrials,45.71011072,3.41451651,
JOHNSON&JOHNSON,Health care,367.5128463,2.414015764,
JPMORGAN CHASE,Financials,361.2163768,2.663635319,
JARDINE STRAT,Industrials,39.63564032,2.507107852,
KERING,Consumer services,70.81952051,2.429736192,
KRAFT HEINZ CO/T,Consumer goods,38.76583424,2.906921172,
KOTAK MAHINDRA,Financials,39.95629978,3.111484251,
KIMBERLY-CLARK,Consumer goods,44.73121178,2.857348281,
KINDER MORGAN IN,Oil & gas,45.93133568,4.517984576,
KONE OYJ-B,Industrials,30.32660173,2.414717273,
COCA-COLA CO/THE,Consumer goods,208.3997286,2.920563145,
Lafarge Holcim,Industrials,30.68486042,6,yes
LUKOIL,Oil & gas,60.09875661,5.193793625,
LLOYDS BANKING,Financials,53.37757696,2.207507397,
ELI LILLY & CO,Health care,112.8396718,2.580615392,
LOCKHEED MARTIN,Industrials,96.6310953,1.677852459,
LOWE'S COS INC,Consumer services,86.9147607,2.546514439,
ISHARES IBOXX IN,Financials,32.6797783,2.491350791,
LAS VEGAS SANDS,Consumer services,45.76548045,2.081992588,
MASTERCARD INC-A,Financials,258.9197107,2.874703239,
MARRIOTT INTL-A,Consumer services,42.57595392,2.591746702,
LVMH MOET HENNE,Consumer goods,185.799721,2.534848969,
MCDONALDS CORP,Consumer services,151.9400878,2.702847604,
MOODY'S CORP,Financials,35.03239168,2.914884061,
MONDELEZ INTER-A,Consumer goods,75.32038554,2.913437725,
MEDTRONIC PLC,Health care,117.4445916,1.596079879,
METLIFE INC,Financials,45.16154982,2.572162016,
MANULIFE FIN,Financials,34.04894413,2.723548849,
MARSH & MCLENNAN,Financials,48.6442025,2.550394536,
3M CO,Industrials,95.8309417,4.055825309,
MONSTER BEVERAGE,Consumer goods,34.57688371,2.921797967,
ALTRIA GROUP INC,Consumer goods,97.90523802,2.887762856,
MARATHON PETROLE,Oil & gas,34.53564928,4.321592939,
MERCK KGAA,Health care,43.91082394,3.566189615,
MERCK & CO,Health care,203.0879539,2.911401584,
MORGAN STANLEY,Financials,73.79963085,2.593027633,
MICROSOFT CORP,Technology,967.2008663,2.250542936,
MICRON TECH,Technology,38.31350477,1.637089199,
MUENCHENER RUE-R,Financials,34.79018291,2.984360074,
NATL AUST BANK,Financials,49.88631859,2.088765851,
NATIONAL COMM,Financials,45.19879475,2.524796131,
NEXTERA ENERGY,Utilities,95.47576115,3.997174264,
NESTLE SA-REG,Consumer goods,301.8129408,2.925613337,
NETFLIX INC,Consumer services,152.2006426,2.783232766,
NIKE INC -CL B,Consumer goods,130.2194504,2.373682265,
NORTHROP GRUMMAN,Industrials,53.41558374,1.478766406,
NOVARTIS AG-REG,Health care,207.4583532,2.805511516,
NOVO NORDISK-B,Health care,113.4994719,2.761690376,
SERVICENOW INC,Technology,49.17664563,2.895312254,
Naspers,Technology,97.71249664,4.537361282,yes
NORFOLK SOUTHERN,Industrials,54.38493901,4.713647336,
AUDI AG,Consumer goods,37.38032947,1.806010541,
NETEASE INC-ADR,Technology,32.96524493,3.142915708,
NATURGY ENERGY,Utilities,29.98956646,4.817557439,
NVIDIA CORP,Technology,92.41574605,1.604614011,
NOVATEK PJSC,Oil & gas,57.39582259,5.329626751,
NXP SEMICONDUCTO,Technology,30.43787162,1.582919083,
OCBC BANK,Financials,34.38503936,2.139657932,
OIL & NATURAL GA,Oil & gas,30.18421453,4.282213335,
L'OREAL,Consumer goods,150.9535908,2.793671611,
ORANGE,Telecommunications,41.38627891,3.001035089,
ORACLE CORP,Technology,183.3913057,2.626491487,
ORSTED A/S,Utilities,33.12359424,4.057495554,
OCCIDENTAL PETE,Oil & gas,39.98916608,5.21918684,
PAYCHEX INC,Industrials,30.96528077,2.536416662,
PUB SERV ENTERP,Utilities,30.51283866,4.223157126,
PEPSICO INC,Consumer goods,182.2227988,2.899542744,
PFIZER INC,Health care,231.2374518,2.648192966,
PROCTER & GAMBLE,Consumer goods,269.2190372,2.817116751,
PROGRESSIVE CORP,Financials,45.72719923,2.536416662,
KONINKLIJKE PHIL,Health care,37.34662349,1.960918428,
PROLOGIS INC,Financials,47.67463014,2.541859398,
PHILIP MORRIS IN,Consumer goods,134.1568778,2.835589154,
PNC FINANCIAL SE,Financials,59.2918569,2.536416662,
PRUDENTIAL PLC,Financials,53.24388352,2.414788313,
PRUDENTL FINL,Financials,40.31986074,2.489268227,
PUBLIC STORAGE,Financials,40.23428301,2.536416662,
PHILLIPS 66,Oil & gas,38.33414451,4.57628854,
PAYPAL HOLDINGS,Industrials,131.7687378,2.56271707,
QUALCOMM INC,Technology,93.14684928,1.879357675,
QATAR NATIONAL B,Financials,43.5575849,4.091819492,
RESTAURANT BRAND,Consumer services,31.16951962,3.041024247,
RECKITT BENCKISE,Consumer goods,56.3327017,2.971590772,
ROYAL BK SCOTLAN,Financials,34.10948915,2.250670677,
ROYAL DUTCH SH-A,Oil & gas,261.5298949,4.61187069,
REGENERON PHARM,Health care,33.17340365,2.568801602,
RELX PLC,Consumer services,44.8595927,2.727805335,
RED HAT INC,Technology,33.00213555,2.908257549,
PERNOD RICARD SA,Consumer goods,46.97500877,2.884810472,
RELIANCE INDS,Oil & gas,115.1840338,4.398232961,
RIO TINTO LTD,Basic materials,101.2346143,4.914314585,
RIO TINTO PLC,Basic materials,101.1502612,4.913778426,
AL RAJHI BANK,Financials,45.79878093,2.524796131,
HERMES INTL,Consumer goods,70.99430502,2.524411083,
ROCHE HLDG-GENUS,Health care,226.9093724,2.359243558,
ROPER TECHNOLOGI,Industrials,36.66522522,1.807091565,
Rosneft,Oil & gas,67.02054195,5.389654546,yes
ROSS STORES INC,Consumer services,35.52054477,2.536416662,
RAYTHEON CO,Industrials,50.56429261,1.837696368,
ROYAL BANK OF CA,Financials,112.54127,3.077785558,
SABIC,Basic materials,87.35766938,4.288137205,
SAFRAN SA,Industrials,60.6116823,1.910221026,
SANOFI,Health care,103.5736351,2.878637177,
BANCO SANTANDER,Financials,74.06554317,2.397050012,
BANCO SANTA-UNIT,Financials,39.20726835,2.35045866,
SAP SE,Technology,153.4015898,2.932621133,
SBERBANK,Financials,75.57940019,2.05823238,
STATE BANK IND,Financials,40.84925235,3.101218627,
STARBUCKS CORP,Consumer services,92.85059379,3.093754147,
SCHWAB (CHARLES),Financials,58.13966029,2.536416662,
SIEMENS HEALTHIN,Health care,40.55665459,1.565902167,
SHOPIFY INC - A,Industrials,30.58214912,2.539832832,
SHERWIN-WILLIAMS,Industrials,39.18915174,3.95,
SIEMENS AG-REG,Industrials,99.71543245,1.565902167,
Schlumberger,Oil & gas,54.185984,3.506227681,yes
SOUTHERN CO,Utilities,56.2882519,4.459966353,
SIMON PROPERTY,Financials,52.70194995,2.539127587,
S&P GLOBAL INC,Financials,52.15254528,2.583486028,
SEMPRA ENERGY,Utilities,35.99425126,3.799695041,
SWISS RE AG,Financials,31.53253376,2.53527284,
Singapore Teleco,Telecommunications,37.18255002,2.074068449,yes
SAUDI TELECOM CO,Telecommunications,54.61187789,2.981543323,
CONSTELLATION-A,Consumer goods,38.8826071,2.893677813,
SUNCOR ENERGY,Oil & gas,50.75359334,4.358031006,
SCHNEIDER ELECTR,Industrials,46.62094643,1.78579227,
STRYKER CORP,Health care,68.89694003,1.5281772,
SYSCO CORP,Consumer services,38.5275904,2.549813952,
AT&T INC,Telecommunications,234.922623,2.529593419,
TATA CONSULTANCY,Technology,112.7323402,2.550376034,
TORONTO-DOM BANK,Financials,101.3483766,3.044453198,
ATLASSIAN CORP-A,Technology,30.02432307,2.839627983,
TELEFONICA,Telecommunications,41.53065062,2.466264947,
TELENOR ASA,Telecommunications,30.29703885,2.164316981,
TARGET CORP,Consumer services,37.15803546,2.535940265,
TJX COS INC,Consumer services,64.34526003,2.579627227,
THERMO FISHER,Health care,105.159041,2.816808568,
T-MOBILE US INC,Telecommunications,66.8833833,2.536416662,
TRAVELERS COS IN,Financials,38.8069376,2.543210368,
TESLA INC,Consumer goods,36.57775514,1.716646318,
TEXAS INSTRUMENT,Technology,98.2583296,1.588944839,
UBS GROUP AG,Financials,46.1032448,2.509167266,
UNILEVER PLC,Consumer goods,174.3176499,2.983993663,
UNITEDHEALTH GRP,Health care,233.7749074,2.540902462,
UNION PAC CORP,Industrials,123.6876411,4.825738836,
UNITED OVERSEAS,Financials,30.22089216,2.15863934,
UNITED PARCEL-B,Industrials,84.8016425,4.800950055,
US BANCORP,Financials,82.34146202,2.5333015,
UNITED TECH CORP,Industrials,115.0986568,1.642028691,
VISA INC-CLASS A,Financials,326.2969938,2.815751972,
Vale,Basic materials,60.30149632,5.691588518,yes
VF CORP,Consumer goods,35.84580813,2.492774564,
VIVENDI,Consumer services,35.83941427,2.687963021,
VALERO ENERGY,Oil & gas,34.24717824,4.337365458,
VMWARE INC-CL A,Technology,80.95381094,2.807772875,
VODAFONE GROUP,Telecommunications,42.9048873,3.251958291,
VOLVO AB-B,Industrials,30.37550387,1.778415278,
VOLKSWAGEN AG,Consumer goods,81.49204173,1.872397343,
VERTEX PHARM,Health care,42.44699136,2.53761435,
VERIZON COMMUNIC,Telecommunications,244.0480522,2.536205725,
WALMART DE MEXIC,Consumer services,50.91849421,2.336825399,
WALGREENS BOOTS,Consumer services,47.78126541,4.013257363,
WESTPAC BANKING,Financials,65.77319526,2.0668578,
WORKDAY INC-A,Technology,45.71174502,2.571291356,
WELLTOWER INC,Financials,32.08344781,2.539237788,
WELLS FARGO & CO,Financials,204.2678804,2.53612513,
WASTE MANAGEMENT,Industrials,46.04392243,3.85,
WILLIAMS COS INC,Oil & gas,33.27520973,4.420056479,
WALMART INC,Consumer services,291.0704763,2.553934325,
WOOLWORTHS GROUP,Consumer services,31.53739981,2.049678259,
WORLDPAY INC-A,Industrials,37.37106842,2.536416662,
XCEL ENERGY INC,Utilities,30.05176832,4.477811676,
EXXON MOBIL CORP,Oil & gas,321.1400315,4.536674076,
YUM! BRANDS INC,Consumer services,30.80863539,2.781635053,
ZOETIS INC,Health care,48.92823552,2.513323611,
ZURICH INSURANCE,Financials,48.83644006,2.506052996,
