ons_id,ons_name,ft_name,region_code,region_name,2010,2011,2012
N09000011,Aberavon,Aberavon,W08000001,Wales,0.9,0.5,0.051572448
E06000001,Aberconwy,Aberconwy,W08000001,Wales,0.9,0.5,0.940648276
S12000005,Aberdeen North,Aberdeen North,S92000003,Scotland,0.9,0.5,0.905393022
S12000006,Aberdeen South,Aberdeen South,S92000003,Scotland,0.9,0.5,0.158612878
S12000008,West Aberdeenshire and Kincardine,West Aberdeenshire and Kincardine,S92000003,Scotland,0.9,0.5,0.939804792
E06000002,Airdrie and Shotts,Airdrie and Shotts,S92000003,Scotland,0.9,0.5,0.793214731
E06000003,Aldershot,Aldershot,E15000008,South East,0.9,0.5,0.211721134
S12000010,Aldridge-Brownhills,Aldridge-Brownhills,E15000005,West Midlands,0.9,0.5,0.690530294
E06000004,Altrincham and Sale West,Altrincham and Sale West,E15000002,North West,0.9,0.5,0.383135086
E06000005,Alyn and Deeside,Alyn and Deeside,W08000001,Wales,0.9,0.5,0.693981838
S12000011,Amber Valley,Amber Valley,E15000004,East Midlands,0.9,0.5,0.06489334
S12000013,Angus,Angus,S92000003,Scotland,0.9,0.5,0.499350659
E06000006,East Antrim,East Antrim,N92000002,Northern Ireland,0.9,0.5,0.437480176
E06000007,North Antrim,North Antrim,N92000002,Northern Ireland,0.9,0.5,0.873933516
S12000014,South Antrim,South Antrim,N92000002,Northern Ireland,0.9,0.5,0.98413724
E07000004,Arfon,Arfon,W08000001,Wales,0.9,0.5,0.808050064
S12000015,Argyll and Bute,Argyll and Bute,S92000003,Scotland,0.9,0.5,0.837228428
E06000008,Arundel and South Downs,Arundel and South Downs,E15000008,South East,0.9,0.5,0.775998275
E07000005,Ashfield,Ashfield,E15000004,East Midlands,0.9,0.5,0.487714142
S12000017,Ashford,Ashford,E15000008,South East,0.9,0.5,0.435592999
E06000009,Ashton-under-Lyne,Ashton-under-Lyne,E15000002,North West,0.9,0.5,0.574547974
E07000006,Aylesbury,Aylesbury,E15000008,South East,0.9,0.5,0.445995573
S12000018,"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",S92000003,Scotland,0.9,0.5,0.03824299
E06000010,Central Ayrshire,Central Ayrshire,S92000003,Scotland,0.9,0.5,0.789647554
E07000007,North Ayrshire and Arran,North Ayrshire and Arran,S92000003,Scotland,0.9,0.5,0.624967368
S12000019,Banbury,Banbury,E15000008,South East,0.9,0.5,0.378568513
E06000011,Banff and Buchan,Banff and Buchan,S92000003,Scotland,0.9,0.5,0.360641508
E07000008,Barking,Barking,E15000007,London,0.9,0.5,0.530435825
S12000020,Barnsley Central,Barnsley Central,E15000003,Yorkshire and The Humber,0.9,0.5,0.177334932
E06000012,Barnsley East,Barnsley East,E15000003,Yorkshire and The Humber,0.9,0.5,0.507291888
E07000009,Barrow and Furness,Barrow and Furness,E15000002,North West,0.9,0.5,0.350290705
S12000021,Basildon and Billericay,Basildon and Billericay,E15000006,Eastern,0.9,0.5,0.794360666
E06000013,South Basildon and East Thurrock,South Basildon and East Thurrock,E15000006,Eastern,0.9,0.5,0.32385434
E07000010,Basingstoke,Basingstoke,E15000008,South East,0.9,0.5,0.202602733
S12000023,Bassetlaw,Bassetlaw,E15000004,East Midlands,0.9,0.5,0.370475359
E06000014,Bath,Bath,E15000009,South West,0.9,0.5,0.989892699
E07000011,Batley and Spen,Batley and Spen,E15000003,Yorkshire and The Humber,0.9,0.5,0.815775191
S12000024,Battersea,Battersea,E15000007,London,0.9,0.5,0.419929411
E06000015,Beaconsfield,Beaconsfield,E15000008,South East,0.9,0.5,0.864172783
E07000012,Beckenham,Beckenham,E15000007,London,0.9,0.5,0.110923233
S12000026,Bedford,Bedford,E15000006,Eastern,0.9,0.5,0.068392167
E06000016,Mid Bedfordshire,Mid Bedfordshire,E15000006,Eastern,0.9,0.5,0.277672146
E07000026,North East Bedfordshire,North East Bedfordshire,E15000006,Eastern,0.9,0.5,0.429707282
S12000027,South West Bedfordshire,South West Bedfordshire,E15000006,Eastern,0.9,0.5,0.42837896
E06000017,Belfast East,Belfast East,N92000002,Northern Ireland,0.9,0.5,0.752475379
E07000027,Belfast North,Belfast North,N92000002,Northern Ireland,0.9,0.5,0.131847081
S12000028,Belfast South,Belfast South,N92000002,Northern Ireland,0.9,0.5,0.301178506
E06000018,Belfast West,Belfast West,N92000002,Northern Ireland,0.9,0.5,0.562926409
E07000028,Bermondsey and Old Southwark,Bermondsey and Old Southwark,E15000007,London,0.9,0.5,0.524616831
S12000029,Berwick-upon-Tweed,Berwick-upon-Tweed,E15000001,North East,0.9,0.5,0.178796207
E06000019,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S92000003,Scotland,0.9,0.5,0.434479746
E07000029,Bethnal Green and Bow,Bethnal Green and Bow,E15000007,London,0.9,0.5,0.808814082
S12000030,Beverley and Holderness,Beverley and Holderness,E15000003,Yorkshire and The Humber,0.9,0.5,0.399489493
E06000020,Bexhill and Battle,Bexhill and Battle,E15000008,South East,0.9,0.5,0.896504545
E07000030,Bexleyheath and Crayford,Bexleyheath and Crayford,E15000007,London,0.9,0.5,0.614538519
S12000033,Birkenhead,Birkenhead,E15000002,North West,0.9,0.5,0.809590825
E06000021,"Birmingham, Edgbaston","Birmingham, Edgbaston",E15000005,West Midlands,0.9,0.5,0.798243084
E07000031,"Birmingham, Erdington","Birmingham, Erdington",E15000005,West Midlands,0.9,0.5,0.90507539
S12000034,"Birmingham, Hall Green","Birmingham, Hall Green",E15000005,West Midlands,0.9,0.5,0.82740819
E06000022,"Birmingham, Hodge Hill","Birmingham, Hodge Hill",E15000005,West Midlands,0.9,0.5,0.503982122
E07000032,"Birmingham, Ladywood","Birmingham, Ladywood",E15000005,West Midlands,0.9,0.5,0.4427573
S12000035,"Birmingham, Northfield","Birmingham, Northfield",E15000005,West Midlands,0.9,0.5,0.726375128
E06000023,"Birmingham, Perry Barr","Birmingham, Perry Barr",E15000005,West Midlands,0.9,0.5,0.394603169
E07000033,"Birmingham, Selly Oak","Birmingham, Selly Oak",E15000005,West Midlands,0.9,0.5,0.074907485
S12000036,"Birmingham, Yardley","Birmingham, Yardley",E15000005,West Midlands,0.9,0.5,0.390667304
E06000024,Bishop Auckland,Bishop Auckland,E15000001,North East,0.9,0.5,0.542107052
E07000034,Blackburn,Blackburn,E15000002,North West,0.9,0.5,0.340319103
S12000038,Blackley and Broughton,Blackley and Broughton,E15000002,North West,0.9,0.5,0.704578233
E06000025,Blackpool North and Cleveleys,Blackpool North and Cleveleys,E15000002,North West,0.9,0.5,0.792209178
E07000035,Blackpool South,Blackpool South,E15000002,North West,0.9,0.5,0.66438952
S12000039,Blaenau Gwent,Blaenau Gwent,W08000001,Wales,0.9,0.5,0.53725296
E06000026,Blaydon,Blaydon,E15000001,North East,0.9,0.5,0.395690615
E07000036,Blyth Valley,Blyth Valley,E15000001,North East,0.9,0.5,0.847431763
S12000040,Bognor Regis and Littlehampton,Bognor Regis and Littlehampton,E15000008,South East,0.9,0.5,0.587126825
E06000027,Bolsover,Bolsover,E15000004,East Midlands,0.9,0.5,0.956198232
E07000037,Bolton North East,Bolton North East,E15000002,North West,0.9,0.5,0.585679472
S12000041,Bolton South East,Bolton South East,E15000002,North West,0.9,0.5,0.945529293
E06000028,Bolton West,Bolton West,E15000002,North West,0.9,0.5,0.77058521
E07000038,Bootle,Bootle,E15000002,North West,0.9,0.5,0.315486699
S12000042,Boston and Skegness,Boston and Skegness,E15000004,East Midlands,0.9,0.5,0.785017131
E06000029,Bosworth,Bosworth,E15000004,East Midlands,0.9,0.5,0.270200647
E07000039,Bournemouth East,Bournemouth East,E15000009,South West,0.9,0.5,0.107348746
S12000044,Bournemouth West,Bournemouth West,E15000009,South West,0.9,0.5,0.237435805
E06000030,Bracknell,Bracknell,E15000008,South East,0.9,0.5,0.19670717
E07000040,Bradford East,Bradford East,E15000003,Yorkshire and The Humber,0.9,0.5,0.388035558
S12000045,Bradford South,Bradford South,E15000003,Yorkshire and The Humber,0.9,0.5,0.101682889
E06000031,Bradford West,Bradford West,E15000003,Yorkshire and The Humber,0.9,0.5,0.714489805
E07000041,Braintree,Braintree,E15000006,Eastern,0.9,0.5,0.286899651
S12000046,Brecon and Radnorshire,Brecon and Radnorshire,W08000001,Wales,0.9,0.5,0.345056737
E06000032,Brent Central,Brent Central,E15000007,London,0.9,0.5,0.592207281
E07000042,Brent North,Brent North,E15000007,London,0.9,0.5,0.915479442
W06000001,Brentford and Isleworth,Brentford and Isleworth,E15000007,London,0.9,0.5,0.794249605
E06000033,Brentwood and Ongar,Brentwood and Ongar,E15000006,Eastern,0.9,0.5,0.979435236
E07000043,Bridgend,Bridgend,W08000001,Wales,0.9,0.5,0.916040122
W06000002,Bridgwater and West Somerset,Bridgwater and West Somerset,E15000009,South West,0.9,0.5,0.666020141
E06000034,Brigg and Goole,Brigg and Goole,E15000003,Yorkshire and The Humber,0.9,0.5,0.036653562
E07000044,"Brighton, Kemptown","Brighton, Kemptown",E15000008,South East,0.9,0.5,0.578889433
W06000003,"Brighton, Pavilion","Brighton, Pavilion",E15000008,South East,0.9,0.5,0.299403427
E06000035,Bristol East,Bristol East,E15000009,South West,0.9,0.5,0.300639677
E07000045,Bristol North West,Bristol North West,E15000009,South West,0.9,0.5,0.289382479
W06000004,Bristol South,Bristol South,E15000009,South West,0.9,0.5,0.58607264
E06000036,Bristol West,Bristol West,E15000009,South West,0.9,0.5,0.121157884
E07000046,Broadland,Broadland,E15000006,Eastern,0.9,0.5,0.342266868
W06000005,Bromley and Chislehurst,Bromley and Chislehurst,E15000007,London,0.9,0.5,0.108744132
E06000037,Bromsgrove,Bromsgrove,E15000005,West Midlands,0.9,0.5,0.80864647
E07000047,Broxbourne,Broxbourne,E15000006,Eastern,0.9,0.5,0.243135108
W06000006,Broxtowe,Broxtowe,E15000004,East Midlands,0.9,0.5,0.17974768
E06000038,Buckingham,Buckingham,E15000008,South East,0.9,0.5,0.692101251
E07000048,Burnley,Burnley,E15000002,North West,0.9,0.5,0.179162315
E07000049,Burton,Burton,E15000005,West Midlands,0.9,0.5,0.614626998
E07000050,Bury North,Bury North,E15000002,North West,0.9,0.5,0.638060936
E07000051,Bury South,Bury South,E15000002,North West,0.9,0.5,0.935997572
E07000052,Bury St Edmunds,Bury St Edmunds,E15000006,Eastern,0.9,0.5,0.601866382
E07000053,Caerphilly,Caerphilly,W08000001,Wales,0.9,0.5,0.549660578
E07000061,"Caithness, Sutherland and Easter Ross","Caithness, Sutherland and Easter Ross",S92000003,Scotland,0.9,0.5,0.074134225
E07000062,Calder Valley,Calder Valley,E15000003,Yorkshire and The Humber,0.9,0.5,0.842380656
E07000063,Camberwell and Peckham,Camberwell and Peckham,E15000007,London,0.9,0.5,0.184709493
E07000064,Camborne and Redruth,Camborne and Redruth,E15000009,South West,0.9,0.5,0.721801085
E07000065,Cambridge,Cambridge,E15000006,Eastern,0.9,0.5,0.536623818
E07000066,North East Cambridgeshire,North East Cambridgeshire,E15000006,Eastern,0.9,0.5,0.324777759
E07000067,North West Cambridgeshire,North West Cambridgeshire,E15000006,Eastern,0.9,0.5,0.310690846
E07000068,South Cambridgeshire,South Cambridgeshire,E15000006,Eastern,0.9,0.5,0.784971651
E07000069,South East Cambridgeshire,South East Cambridgeshire,E15000006,Eastern,0.9,0.5,0.91946234
E07000070,Cannock Chase,Cannock Chase,E15000005,West Midlands,0.9,0.5,0.488805282
E07000071,Canterbury,Canterbury,E15000008,South East,0.9,0.5,0.265419988
E07000072,Cardiff Central,Cardiff Central,W08000001,Wales,0.9,0.5,0.935469643
E07000073,Cardiff North,Cardiff North,W08000001,Wales,0.9,0.5,0.488109926
E07000074,Cardiff South and Penarth,Cardiff South and Penarth,W08000001,Wales,0.9,0.5,0.307953402
E07000075,Cardiff West,Cardiff West,W08000001,Wales,0.9,0.5,0.679478236
E07000076,Carlisle,Carlisle,E15000002,North West,0.9,0.5,0.471413449
