name,value,highlight
YELLOW DOT LIMITED,-80.6,no
Three Rivers District Council,-42,no
Lathams Ltd.,-34,no
The Crown Estate Commissioners,-31,no
Be Modern Ltd.,-27.7,no
Eastgate Care Group Ltd,-27.5,no
FORMICA LIMITED,-23.1,no
ROYAL BRITISH LEGION INDUSTRIES LTD.,-23,no
Houghton PLC,-22.5,no
PROJECT MANAGEMENT (STAFFORDSHIRE) LIMITED,-19.1,no
LOCAL CARE DIRECT LIMITED,-18.5,no
Your Homes Newcastle Ltd.,-16.5,no
Aston Manor Ltd.,-16,no
Tracsis PLC,-15.8,no
KLOECKNER METALS UK LTD,-15.4,no
Arnold Clark Finance Ltd..,-15,no
The Donaldson Trust,-15,no
Campbell's Prime Meat Ltd.,-13.1,no
The Quality Furniture Co. Ltd.,-12.9,no
Hambleton District Council,-12.3,no
OLDHAM COMMUNITY LEISURE LIMITED,-11.2,no
R & R.C.BOND (WHOLESALE) LIMITED,-10.9,no
I4 Pay Partners Ltd.,-10,no
Diageo Great Britain Ltd.,-9.8,no
Katharine House Hospice,-9.3,no
Castell Howell Foods Ltd.,-8.2,no
The Commission for Equality and Human Rights,-8.2,no
Milkwood Care Ltd,-7.9,no
Robert Gordon's College,-7.9,no
THE JPM GROUP COMPANIES LTD,-7.9,no
A3D2 Ltd.,-7,no
Biffa Environmental Municipal Services Ltd.,-5.7,no
Lawrence David Ltd.,-5.7,no
BPDTS,-5.5,no
Naylor Industries PLC,-5,no
BARFOOTS OF BOTLEY LIMITED,-4.8,no
Sweet Dreams (Nelson) Ltd.,-4.7,no
F.W. Evans Cycles (UK) Ltd.,-4.1,no
Cardinal Security Ltd.,-4,no
The British Museum,-4,no
SSE ENERGY SUPPLY LIMITED,-3.8,no
PRINCESS ALICE HOSPICE,-3.6,no
SMITH & REED RECRUITMENT (SW) LIMITED,-3.6,no
Borough of Poole,-3.2,no
OMAR PARK HOMES LIMITED,-3,no
THE OUTWARD BOUND TRUST,-3,no
TWINKL LTD,-3,no
CHROMALLOY UNITED KINGDOM LIMITED,-2.8,no
Vivacity Culture And Leisure,-2.8,no
Creamline Dairies Ltd.,-2.6,no
New Charter Housing Trust Ltd.,-2.6,no
Saint Elizabeth's School,-2.3,no
T.R. Fastenings Ltd.,-2.2,no
ARRK EUROPE LIMITED,-2.1,no
North East Autism Society,-2.1,no
Bighams Ltd.,-2,no
DIESEL (LONDON) LIMITED,-2,no
Independence Matters C.I.C.,-2,no
Northern Schools Trust,-1.9,no
Cashino Gaming Ltd.,-1.8,no
Rossall School,-1.7,no
UK MAIL LIMITED,-1.5,no
"WESCO AIRCRAFT EMEA, LTD.",-1.5,no
Gsl Dardan Ltd.,-1.4,no
AMTICO INTERNATIONAL LIMITED,-1.3,no
UNILEVER UK LIMITED,-1.3,no
Care Quality Commission,-1,no
Heritage Manor Ltd.,-1,no
EDINBURGH LEISURE,-0.9,no
KONDOR LIMITED,-0.7,no
LOUVER-LITE LIMITED,-0.7,no
Pramacare,-0.7,no
NATIONAL GRID GAS PLC,-0.6,no
Mobile Windscreens Ltd.,-0.5,no
Norwood Schools Ltd.,-0.5,no
ST CUTHBERT'S CARE,-0.5,no
THE ROYAL HORTICULTURAL SOCIETY,-0.4,no
South Essex Special Needs Housing Association Ltd.,-0.3,no
"Glatfelter Lydney, Ltd.",-0.1,no
Saint John Of God Hospitaller Services,-0.1,no
A Khan Restaurants Ltd.,0,no
Abbotsford Care (Glenrothes) Ltd.,0,no
"Advisory, Conciliation and Arbitration Service",0,no
Age UK North Tyneside,0,no
Arthur David (Food With Service) Ltd.,0,no
"Arts Club(London),Ltd.(The)",0,no
Autism Together,0,no
Bags Etc Ltd.,0,no
Boreal Ltd.,0,no
Broxtowe Borough Council,0,no
Bulloughs Cleaning Services Ltd.,0,no
Cherry Lane Retail Centres Ltd.,0,no
Chorley Borough Council,0,no
Cleveland Police,0,no
College of Haringey Enfield & North East London,0,no
Community Lives Consortium,0,no
Connect Academy Trust,0,no
Cornerstone Community Care,0,no
DALE CARE LIMITED,0,no
Department Of Work And Pensions,0,no
Devon & Cornwall Autistic Community Trust,0,no
Dingbro Ltd.,0,no
Emh Care And Support Ltd.,0,no
Emporia Leisure Ltd.,0,no
Erskine Hospital,0,no
EXPD8 LIMITED,0,no
FDM GROUP LIMITED,0,no
Florin Industrial Services Holdings Ltd.,0,no
Fore Street Employment Agency Ltd.,0,no
Gainford Hotels Ltd.,0,no
Gainpeak Ltd.,0,no
HALL CLEANING SERVICES LIMITED,0,no
Harrogate Council,0,no
Independent Catering Management Ltd.,0,no
Industrial Site Maintenance Ltd,0,no
Kindertons Ltd.,0,no
Kingston Smith Group Services Ltd.,0,no
Kms (UK) Ltd,0,no
Liberty Leisure Limited,0,no
Livewire (Warrington) Cic,0,no
Lloyd Shoe Co Ltd.,0,no
LONGACRES GARDEN CENTRE LIMITED,0,no
Lorimer Care Homes Ltd.,0,no
M & D (Leisure) Ltd.,0,no
Minster Care Management Ltd.,0,no
N. Notaro Homes Ltd.,0,no
One Call Recruitment Ltd.,0,no
Oxford Archaeology Ltd.,0,no
Pacific Care Ltd.,0,no
Peartree Cleaning Services Holdings Ltd.,0,no
Penumbra,0,no
Porthaven Group Holdings Ltd.,0,no
Registers of Scotland,0,no
RENAISSANCE CARE (NO1) LIMITED,0,no
RETHINK MENTAL ILLNESS LTD,0,no
RIBBON ACQUISITION LIMITED,0,no
SADLER'S WELLS TRUST LIMITED,0,no
Sefton New Directions Ltd.,0,no
SENSE SCOTLAND,0,no
SOUTHDOWN HOUSING ASSOCIATION LIMITED,0,no
Southside Partnership,0,no
SSE METERING LIMITED,0,no
Style Acre,0,no
Summit Recruitment Ltd.,0,no
The Bartrum Group Ltd.,0,no
THE CELTIC MANOR RESORT LIMITED,0,no
Van Hage & Co. (Holdings) Ltd.,0,no
Walter Davidson & Sons Ltd.,0,no
Watt Brothers (Glasgow And Edinburgh) Ltd.,0,no
Wright's Pies (Shelton) Ltd.,0,no
YHA (ENGLAND AND WALES),0,no
Sage (UK) Ltd,0.1,no
ST MUNGO COMMUNITY HOUSING ASSOCIATION,0.1,no
The Royal Masonic Benevolent Institution Care Co.,0.1,no
North Ayrshire Leisure Ltd.,0.2,no
The Information Commissioner's Office,0.2,no
UK Armed Forces,0.2,no
Integrated Cleaning Management Ltd.,0.3,no
Neovia Logistics Services (U.K.) Ltd.,0.3,no
Mirus-Wales,0.4,no
Niftylift Ltd.,0.4,no
United Response,0.4,no
The Press Association Ltd.,0.5,no
Union Of Uea Students Ltd.,0.6,no
Arjo Wiggins Fine Papers Ltd.,0.7,no
HR ESSENTIALS LIMITED,0.7,no
MJ Gleeson PLC,0.7,no
Sogeti UK Ltd.,0.7,no
Biffa Municipal Ltd.,0.8,no
GLENSIDE MANOR HEALTHCARE SERVICES LIMITED,0.9,no
Wolseley UK Ltd.,0.9,no
Europa Worldwide Logistics Ltd,1,no
J5C Management Ltd.,1,no
Manor Restaurants (UK) Ltd.,1,no
Rhubarb Food Design Ltd.,1,no
TATA CHEMICALS EUROPE LIMITED,1,no
"The Bristol, Gloucestershire, Somerset And Wiltshire Community Rehabilitation Co. Ltd.",1,no
Vision Security Group Ltd.,1,no
Dnata Ltd.,1.1,no
EAST OF ENGLAND CO-OPERATIVE SOCIETY LIMITED,1.1,no
Bon Accord Care Ltd.,1.2,no
PORK FARMS LIMITED,1.2,no
EAST MIDLANDS CONFERENCE CENTRE LIMITED,1.4,no
Forestry Commission,1.4,no
Oliver Bonas Ltd.,1.4,no
Wesc Foundation,1.4,no
Niab.,1.5,no
Mama Bear's Day Nursery Ltd,1.6,no
Wyre Council,1.6,no
Natural Resources Wales,1.7,no
Gedling Borough Council,1.9,no
NATIONAL GRID UK LIMITED,1.9,no
Ladbrokes Betting & Gaming Ltd.,2,no
"THE KENT, SURREY AND SUSSEX COMMUNITY REHABILITATION COMPANY LIMITED",2,no
ALCOHOL & DRUGS ACTION,2.1,no
KNIGHTON FOODS LIMITED,2.1,no
Merseyside Fire and Rescue Service,2.3,no
Lilian Faithfull Homes,2.4,no
Ladbrokes Coral Group PLC,2.5,no
Department for International Trade,2.7,no
FLORETTE UK + IRELAND LIMITED,2.7,no
Hyndburn Borough Council,2.7,no
Cleveland Fire Brigade,3,no
Moto Hospitality Ltd.,3,no
Planet Organic Ltd.,3,no
Quadrant Catering Ltd.,3,no
Marlow Foods Ltd.,3.1,no
DERWEN COLLEGE,3.2,no
Hard Rock Cafe (UK) Ltd.,3.2,no
HARD ROCK INTERNATIONAL LIMITED,3.2,no
Tillery Valley Foods Ltd.,3.2,no
Acenta Steel Ltd.,3.4,no
Chichester District Council,3.4,no
BIFFA WASTE SERVICES LIMITED,3.6,no
Royal Berkshire Fire & Rescue Service,3.7,no
SHELL SHARED SERVICE CENTRE - GLASGOW LIMITED,3.7,no
DANIEL THWAITES PUBLIC LIMITED COMPANY,3.8,no
Myfresh Prepared Produce Ltd.,3.8,no
Wigan Leisure And Culture Trust,3.8,no
"The Bedfordshire, Northamptonshire, Cambridgeshire And Hertfordshire Community Rehabilitation Co. Lt",3.9,no
The Cumbria And Lancashire Community Rehabilitation Co. Ltd.,3.9,no
Coral Racing Ltd.,4,no
Crystal Services PLC,4,no
Outlook Care,4,no
The Manor House Hotel (Castle Combe) Ltd.,4,no
THE SOUTHERN CO-OPERATIVE LIMITED,4,no
Wasdell Packaging Ltd.,4,no
Kingspan,4.1,no
HIGH LIFE HIGHLAND,4.3,no
NUMATIC INTERNATIONAL LIMITED,4.3,no
BELLS OF LAZONBY LIMITED,4.4,no
Signature Senior Lifestyle Operations Ltd,4.4,no
Voluntary Service Overseas,4.5,no
