name,date,group,speed,var b,label
Intel 4004,1971,,2300.00,50,
Intel 8008,1972,,3500.00,50,
MOS Technology 6502,1975,,3510.00,50,
Motorola 6800,1974,,4100.00,50,
Intel 8080,1974,,4500.00,50,
RCA 1802,1974,,5000.00,50,
Intel 8085,1976,,6500.00,50,
TMS 1000,1974,,8000.00,50,
Zilog Z80,1976,highlight,8500.00,50,yes
Motorola 6809,1978,,9000.00,50,
WDC 65C02,1981,,11500.00,50,
Novix NC4016,1985,,16000.00,50,
WDC 65C816,1983,,22000.00,50,
ARM 1,1985,,25000.00,50,
Intel 8088,1979,,29000.00,50,
Intel 8086,1978,,29000.00,50,
ARM 2,1986,,30000.00,50,
ARM 6,1991,,35000.00,50,
Intel 80186,1982,,55000.00,50,
Motorola 68000,1979,,68000.00,50,
ARM 9TDMI,1999,,111000.00,50,
Intel 80286,1982,,134000.00,50,
DEC WRL MultiTitan,1988,highlight,180000.00,50,yes
Motorola 68020,1984,,190000.00,50,
Intel i960,1988,,250000.00,50,
Motorola 68030,1987,,273000.00,50,
Intel 80386,1985,,275000.00,50,
ARM 3,1989,,310000.00,50,
TI Explorer's 32-bit_Lisp_machine_chip,1987,,553000.00,50,
ARM700,1994,,578977.00,50,
Intel 80486,1989,,1180235.00,50,
68040,1990,,1200000.00,50,
R4000,1991,,1350000.00,50,
SA-110,1995,,2500000.00,50,
68060,1994,,2500000.00,50,
Pentium,1993,,3100000.00,50,
AMD K5,1996,,4300000.00,50,
Pentium Pro,1995,,5500000.00,50,
Pentium II_Klamath,1997,,7500000.00,50,
Pentium II_Deschutes,1998,,7500000.00,50,
AMD K6,1997,,8800000.00,50,
Pentium III_Katmai,1999,,9500000.00,50,
Pentium III_Coppermine,2000,,21000000.00,50,
AMD K6-III,1999,,21300000.00,50,
AMD K7,1999,,22000000.00,50,
ARM Cortex-A9,2007,,26000000.00,50,
Pentium II_Mobile Dixon,1999,,27400000.00,50,
Pentium 4_Willamette,2000,,42000000.00,50,
Pentium III_Tualatin,2001,,45000000.00,50,
Atom,2008,,47000000.00,50,
Barton,2003,,54300000.00,50,
Pentium 4_Northwood,2002,,55000000.00,50,
AMD K8,2003,,105900000.00,50,
Pentium 4_Prescott,2004,,112000000.00,50,
Pentium 4_Prescott-2M,2005,,169000000.00,50,
Core 2 Duo_Allendale,2007,,169000000.00,50,
Pentium 4_Cedar Mill,2006,,184000000.00,50,
Itanium 2_McKinley,2002,,220000000.00,50,
Pentium D_Smithfield,2005,,228000000.00,50,
Core 2 Duo_Wolfdale 3M,2008,,230000000.00,50,
Cell,2006,,241000000.00,50,
Core 2 Duo_Conroe,2006,,291000000.00,50,
Pentium D_Presler,2006,,362000000.00,50,
Itanium 2_Madison 6M,2003,,410000000.00,50,
Core 2 Duo_Wolfdale,2007,,411000000.00,50,
"Atom_""Medfield""",2012,,432000000.00,50,
AMD K10_quad-core 2M L3,2007,,463000000.00,50,
Itanium 2_with 9_MB_cache,2004,,592000000.00,50,
Core i7_(Quad),2008,,731000000.00,50,
AMD K10_quad-core 6M L3,2008,,758000000.00,50,
POWER6,2007,,789000000.00,50,
Six-core_Opteron_2400,2009,,904000000.00,50,
"Apple A7_(dual-core_ARM64_""mobile SoC"")",2013,,1000000000.00,50,
16-core_SPARC T3,2010,,1000000000.00,50,
