name,radius,value,category,colour,label,type
Restaurant - Lebanese,172,12.41830065,Leisure,Positive ,,
Coffee Shops,2199,9.785322017,Leisure,Positive ,yes,
Serviced Apartments,172,9.554140127,Leisure,Positive ,,
Restaurant - Nepalese,86,8.860759494,Leisure,Positive ,,
Restaurant - Portuguese,209,8.854166667,Leisure,Positive ,,
Restaurant - Thai,745,8.442503639,Leisure,Positive ,,
Restaurant - English,249,8.260869565,Leisure,Positive ,,
Holiday Flats,44,7.317073171,Leisure,Positive ,,
Restaurant - Mediterranean,239,7.174887892,Leisure,Positive ,,
Hotels - 4 Stars,483,7.095343681,Leisure,Positive ,,
Bars,3762,6.814310051,Leisure,Positive ,,
Restaurant - Other,205,6.770833333,Leisure,Positive ,,
Chinese Fast Food Takeaway,1539,6.578947368,Leisure,Positive ,,
Restaurant - Brazilian,52,6.12244898,Leisure,Positive ,,
Hotels - Others,818,5.821474774,Leisure,Positive ,,
Cafe & Tearoom,10483,5.590249799,Leisure,Positive ,,
Hostels,208,5.050505051,Leisure,Positive ,,
Sports Grounds & Stadiums,28,3.703703704,Leisure,Positive ,,
Indian Takeaway,663,3.432137285,Leisure,Positive ,,
Restaurant - Vegetarian,69,2.985074627,Leisure,Positive ,,
Restaurant - Iranian,35,2.941176471,Leisure,Positive ,,
Take Away Food Shops,4749,2.151000215,Leisure,Positive ,,
Bowling Alleys,48,2.127659574,Leisure,Positive ,,
Restaurant - British,659,1.384615385,Leisure,Positive ,,
Theatres & Concert Halls,598,1.355932203,Leisure,Positive ,,
Museums & Art Galleries,531,1.335877863,Leisure,Positive ,,
Cinemas,272,1.115241636,Leisure,Positive ,,
Restaurant - Spanish,286,1.060070671,Leisure,Positive ,,
Tourist Attractions,304,0.996677741,Leisure,Positive ,,
Restaurant - Mauritian,2,0,Leisure,Positive ,,
Restaurant - Scandinavian,2,0,Leisure,Positive ,,
Disco Equipment - Hire & Sales,16,0,Leisure,Positive ,,
Ice Rinks,11,0,Leisure,Positive ,,
Race Courses,1,0,Leisure,Positive ,,
Restaurant - Austrian,3,0,Leisure,Positive ,,
Restaurant - Continental,115,0,Leisure,Positive ,,
Restaurant - Danish,1,0,Leisure,Positive ,,
Restaurant - Irish,0,0,Leisure,Positive ,,
Restaurant - Southwestern,0,0,Leisure,Positive ,,
Restaurant - Sudanese,0,0,Leisure,Positive ,,
Restaurant - Swiss,1,0,Leisure,Positive ,,
Restaurant - Tibetan,1,0,Leisure,Positive ,,
Restaurant Cruises,3,0,Leisure,Positive ,,
Yacht & Sailing Clubs,4,0,Leisure,Positive ,,
Restaurant - French,353,-0.563380282,Leisure,Positive ,,
Restaurant - Italian,2462,-0.605571256,Leisure,Positive ,,
Casino Clubs,108,-0.917431193,Leisure,Positive ,,
Hotels - 3 Stars,1047,-0.946073794,Leisure,Positive ,,
Fast Food Takeaway,5104,-1.276595745,Leisure,Positive ,,
Restaurant - European,185,-1.595744681,Leisure,Positive ,,
Restaurant - Mexican/Tex Mex,240,-1.639344262,Leisure,Positive ,,
Restaurant - Seafood,162,-1.818181818,Leisure,Positive ,,
Hotels - 5 Stars,90,-2.173913043,Leisure,Positive ,,
Fish & Chip Shops,1807,-3.057939914,Leisure,Positive ,,
Social Clubs,278,-3.135888502,Leisure,Positive ,,
Bingo Halls,149,-3.246753247,Leisure,Positive ,,
Guesthouses,444,-3.47826087,Leisure,Positive ,,
Paintball & Combat Games,27,-3.571428571,Leisure,Positive ,,
Bookmakers,4142,-4.341801386,Leisure,Positive ,,
"Cake Makers, Decorators & Supplies",324,-4.705882353,Leisure,Positive ,,
Public Houses & Inns,8578,-4.952908587,Leisure,Positive ,yes,
"Snooker, Billiards & Pool Halls",191,-4.975124378,Leisure,Positive ,,
Bed & Breakfast,612,-6.134969325,Leisure,Positive ,,
Restaurant - Chinese,1306,-7.637906648,Leisure,Positive ,,
Restaurant - Kosher,10,-9.090909091,Leisure,Positive ,,
Amusement Parks & Arcades,960,-9.090909091,Leisure,Positive ,,
Restaurant - Indian,2575,-9.2670895,Leisure,Positive ,,
Private Clubs,495,-9.506398537,Leisure,Positive ,,
Restaurant - Malaysian,33,-10.81081081,Leisure,Positive ,,
Restaurant - Scottish,63,-11.26760563,Leisure,Positive ,,
Information Centre,56,-12.5,Leisure,Positive ,,
Caterers,34,-12.82051282,Leisure,Positive ,,
Booking Agents,12,-14.28571429,Leisure,Positive ,,
Restaurant - Oriental,108,-14.28571429,Leisure,Positive ,,
Night Clubs,952,-14.31143114,Leisure,Positive ,,
XXX - Adult Venues,125,-16.10738255,Leisure,Positive ,,
Comedy Clubs,36,-16.27906977,Leisure,Positive ,,
Fast Food Delivery,425,-17.47572816,Leisure,Positive ,,
Restaurant - Moroccan,33,-17.5,Leisure,Positive ,,
Tourist Information,246,-18.54304636,Leisure,Positive ,,
Restaurant - International,105,-19.23076923,Leisure,Positive ,,
Ticket Outlets & Box Offices,67,-19.27710843,Leisure,Positive ,,
Restaurant - Brasserie,353,-21.72949002,Leisure,Positive ,,
Restaurant - Egyptian,6,-25,Leisure,Positive ,,
Restaurant - Pakistani,18,-25,Leisure,Positive ,,
XXX - Adult Services,27,-25,Leisure,Positive ,,
Sandwich Delivery Service,168,-26.31578947,Leisure,Positive ,,
Restaurant - Bangladeshi,36,-26.53061224,Leisure,Positive ,,
Internet Cafes,200,-26.73992674,Leisure,Positive ,,
Karting,2,-33.33333333,Leisure,Positive ,,
Restaurant - Swedish,2,-33.33333333,Leisure,Positive ,,
Restaurant - Indonesian,6,-45.45454545,Leisure,Positive ,,
Restaurant - Mongolian,1,-66.66666667,Leisure,Positive ,,
Restaurant - Welsh,1,-66.66666667,Leisure,Positive ,,
Tobacconists,1758,94.46902655,Convenience,Positive ,,
Ice Cream Parlours,691,47.3347548,Convenience,Positive ,,
Halal Butchers,213,10.3626943,Convenience,Positive ,,
Tea & Coffee Merchants,129,9.322033898,Convenience,Positive ,,
Cheese Shops,76,8.571428571,Convenience,Positive ,,
"Wines, Spirits & Beers",1122,2.092811647,Convenience,Positive ,,
Supermarkets,2167,-0.276115969,Convenience,Positive ,,
Petrol Filling Stations,624,-0.79491256,Convenience,Positive ,,
Fishmongers,322,-1.529051988,Convenience,Positive ,,
Bakers Shops,3093,-1.965134707,Convenience,Positive ,yes,
Convenience Stores,6035,-2.472527473,Convenience,Positive ,,
Grocers,1233,-4.344453064,Convenience,Positive ,,
Butchers,1323,-7.288016819,Convenience,Positive ,,
Gourmet Food,24,-7.692307692,Convenience,Positive ,,
Delicatessen,1256,-7.714915503,Convenience,Positive ,,
Card & Poster Shops,1355,-9.546061415,Convenience,Positive ,,
Confectioners,852,-10.50420168,Convenience,Positive ,,
Greengrocers & Fruitsellers,649,-15.27415144,Convenience,Positive ,,
Chocolatiers,329,-15.64102564,Convenience,Positive ,,
Newsagents,2169,-18.18181818,Convenience,Positive ,,
Cash & Carry,41,-19.60784314,Convenience,Positive ,,
Wine Making & Brewer Supplies,30,-25,Convenience,Positive ,,
Catering Equipment,35,94.44444444,Comparison,Positive ,,
Potteries & Ceramics,63,31.25,Comparison,Positive ,,
Gas Log & Coal Fires,32,23.07692308,Comparison,Positive ,,
Mirrors & Decorative Glass,17,21.42857143,Comparison,Positive ,,
Health & Beauty Shops,196,18.78787879,Comparison,Positive ,,
Maternity Wear,75,17.1875,Comparison,Positive ,,
Watches,97,14.11764706,Comparison,Positive ,,
Collectors Items,110,13.40206186,Comparison,Positive ,,
Comics Bookshops,120,10.09174312,Comparison,Positive ,,
Floorcoverings,395,9.722222222,Comparison,Positive ,,
Mobile Phones,2922,9.52023988,Comparison,Positive ,yes,
"Records, Tapes & CD's",298,8.363636364,Comparison,Positive ,,
Landscape Gardeners,15,7.142857143,Comparison,Positive ,,
Kitchen Planners,742,6.916426513,Comparison,Positive ,,
Uniforms & Staffwear,246,6.493506494,Comparison,Positive ,,
Upholsterers,91,5.813953488,Comparison,Positive ,,
Security Equipment,104,5.050505051,Comparison,Positive ,,
Beauty Products,1766,4.86935867,Comparison,Positive ,,
Leisure Wear,310,4.377104377,Comparison,Positive ,,
Computer Games,469,3.076923077,Comparison,Positive ,,
Door & Window Furniture,238,3.03030303,Comparison,Positive ,,
Garden & Patio Furniture,36,2.857142857,Comparison,Positive ,,
Dressmakers,80,2.564102564,Comparison,Positive ,,
Bathroom Equipment & Fittings,415,2.216748768,Comparison,Positive ,,
Kilt Shops,56,1.818181818,Comparison,Positive ,,
Games Shops,255,1.19047619,Comparison,Positive ,,
Tailors,472,0.854700855,Comparison,Positive ,,
Health Foods & Products,1112,0.451671183,Comparison,Positive ,,
Air Conditioning Equipment,9,0,Comparison,Positive ,,
"Blinds, Awnings & Canopies",238,0,Comparison,Positive ,,
Ties & Neckwear,0,0,Comparison,Positive ,,
Mail Order & Catalogue Showrooms,292,-0.680272109,Comparison,Negative,,
Knitwear & Textiles,289,-0.687285223,Comparison,Negative,,
Interior Design / Decoration,1070,-1.109057301,Comparison,Negative,,
Garden Centres,89,-1.111111111,Comparison,Negative,,
Art & Craft,605,-1.305057096,Comparison,Negative,,
Pet Shops & Pet Supplies,1170,-1.349072513,Comparison,Negative,,
Furniture - Built-In & Fitted,132,-1.492537313,Comparison,Negative,,
Plumbers Merchants,185,-1.595744681,Comparison,Negative,,
Tile Stockists,235,-1.673640167,Comparison,Negative,,
Household Services,58,-1.694915254,Comparison,Negative,,
New Age Shops,154,-1.910828025,Comparison,Negative,,
Charity Shops,7551,-2.36617533,Comparison,Negative,,
Builders' Merchants,290,-2.684563758,Comparison,Negative,,
Painting & Decorating Supplies,200,-2.912621359,Comparison,Negative,,
Booksellers,1485,-2.941176471,Comparison,Negative,,
Books - Rare & Secondhand,230,-2.953586498,Comparison,Negative,,
Golf Equipment & Supplies,32,-3.03030303,Comparison,Negative,,
Fabric Shops,309,-3.134796238,Comparison,Negative,,
Gift Shops,2777,-3.341454925,Comparison,Negative,,
Art Galleries & Fine Art Dealers,1433,-3.436657682,Comparison,Negative,,
"Beds, Bedding & Blankets",408,-3.773584906,Comparison,Negative,,
Hardware Merchants & Ironmongers,479,-3.815261044,Comparison,Negative,,
Sewing Machines,92,-4.166666667,Comparison,Negative,,
Carpets & Rugs,906,-4.531085353,Comparison,Negative,,
Soft Furnishings,262,-4.727272727,Comparison,Negative,,
Haberdashers,450,-4.862579281,Comparison,Negative,,
Glass Merchants,74,-5.128205128,Comparison,Negative,,
Picture & Photo Framers,439,-5.387931034,Comparison,Negative,,
Car Dealers,868,-5.549510337,Comparison,Negative,,
Chemists / Toiletries,3120,-5.683192261,Comparison,Negative,,
Shirt Makers,82,-5.747126437,Comparison,Negative,,
Jewellers,3260,-5.753107835,Comparison,Negative,,
Cycle Shops,687,-6.275579809,Comparison,Negative,,
Photographic - Retail,450,-6.444906445,Comparison,Negative,,
Goldsmiths & Silversmiths,42,-6.666666667,Comparison,Negative,,
Guns & Sporting Equipment,68,-6.849315068,Comparison,Negative,,
Bride & Groom Shops,726,-6.923076923,Comparison,Negative,,
Secondhand Shops,800,-6.976744186,Comparison,Negative,,
Dresswear Hire,26,-7.142857143,Comparison,Negative,,
Fashion Shops,5001,-7.303058387,Comparison,Negative,yes,
Clothes - Children,677,-7.387140903,Comparison,Negative,,
"Maps, Charts & Globes",12,-7.692307692,Comparison,Negative,,
Camping Goods & Outdoor Wear,442,-7.724425887,Comparison,Negative,,
Hydroponics,23,-8,Comparison,Negative,,
Hat Shops,68,-8.108108108,Comparison,Negative,,
Stationers,579,-8.386075949,Comparison,Negative,,
D.I.Y.,357,-8.461538462,Comparison,Negative,,
Wallpapers & Wall Coverings,43,-8.510638298,Comparison,Negative,,
Dance & Balletwear,114,-8.8,Comparison,Negative,,
Furniture Shops,1159,-9.026687598,Comparison,Negative,,
Discount Store,1714,-9.071618037,Comparison,Negative,,
Household Stores,651,-9.078212291,Comparison,Negative,,
Florists,1614,-9.172763084,Comparison,Negative,,
Fireplaces & Mantelpieces,180,-9.547738693,Comparison,Negative,,
Antique Dealers,1025,-9.771126761,Comparison,Negative,,
Craft Centres & Shops,179,-10.05025126,Comparison,Negative,,
Music Shops,614,-10.10248902,Comparison,Negative,,
Candle Suppliers,76,-10.58823529,Comparison,Negative,,
Electrical Goods,1117,-10.71143086,Comparison,Negative,,
Kitchenware,258,-11.03448276,Comparison,Negative,,
Motorbikes & Accessories,165,-11.29032258,Comparison,Negative,,
Curtains - Retailers & Makers,179,-11.38613861,Comparison,Negative,,
Party Goods / Novelties,283,-11.5625,Comparison,Negative,,
Fashion Accessories,793,-11.79087875,Comparison,Negative,,
Lighting Retailers,192,-12.32876712,Comparison,Negative,,
Sports Goods Shops,992,-12.36749117,Comparison,Negative,,
Computers,1051,-12.41666667,Comparison,Negative,,
Printers,940,-12.47672253,Comparison,Negative,,
Pianos & Accessories,42,-12.5,Comparison,Negative,,
Furnishers,489,-13.60424028,Comparison,Negative,,
Shoe Shops,1959,-13.89010989,Comparison,Negative,,
Coins & Medals,24,-14.28571429,Comparison,Negative,,
Furniture - Repairing & Restoring,48,-14.28571429,Comparison,Negative,,
Fishing & Angling Equipment,173,-14.35643564,Comparison,Negative,,
Souvenir Shops,134,-14.64968153,Comparison,Negative,,
Theatrical Costumes & Fancy Dress,103,-14.87603306,Comparison,Negative,,
Hairpieces & Wigs,147,-15.02890173,Comparison,Negative,,
Surplus Stores,45,-15.09433962,Comparison,Negative,,
XXX - Adult Shops,133,-15.2866242,Comparison,Negative,,
Department Stores,506,-15.38461538,Comparison,Negative,,
Boat Shops,26,-16.12903226,Comparison,Negative,,
Model Shops,114,-16.17647059,Comparison,Negative,,
Textiles,113,-16.2962963,Comparison,Negative,,
Clothes - Men,1193,-16.39803784,Comparison,Negative,,
Toy Shops,451,-16.63585952,Comparison,Negative,,
Skiing Equipment,15,-16.66666667,Comparison,Negative,,
Luggage Shops,133,-16.875,Comparison,Negative,,
Leather Goods,141,-17.05882353,Comparison,Negative,,
Clothes - Women,3048,-17.17391304,Comparison,Negative,yes,
Domestic Appliances,267,-17.59259259,Comparison,Negative,,
Lingerie & Hosiery,315,-18.60465116,Comparison,Negative,,
Clocks & Watches,345,-18.82352941,Comparison,Negative,,
Dress Agencies,77,-19.79166667,Comparison,Negative,,
T-Shirts,39,-20.40816327,Comparison,Negative,,
China & Glassware Shops,77,-23.76237624,Comparison,Negative,,
Satellite Television - Equipment & Services,49,-24.61538462,Comparison,Negative,,
Home Entertainment,250,-24.92492492,Comparison,Negative,,
Leather Merchants & Wholesalers,6,-25,Comparison,Negative,,
Designers - Garments,61,-25.6097561,Comparison,Negative,,
Riding Wear,11,-26.66666667,Comparison,Negative,,
Nursery Goods & Accessories,142,-26.80412371,Comparison,Negative,,
Linen Shops,52,-28.76712329,Comparison,Negative,,
Printer Cartridges,98,-34.22818792,Comparison,Negative,,
Dolls & Dolls' Houses,15,-34.7826087,Comparison,Negative,,
Furniture - Reproduction,9,-35.71428571,Comparison,Negative,,
Architectural Salvage Yard,3,-40,Comparison,Negative,,
"Buttons, Buckles & Beads",28,-42.85714286,Comparison,Negative,,
Video Library,27,-44.89795918,Comparison,Negative,,
Audio Visual Rental,10,-54.54545455,Comparison,Negative,,
