number,Label,votes1,votes2,afd1,cducsu1,csu1,spd1,fdp1,green1,left1,other1,winner,second,marginality,afd2,cducsu2,csu2,spd2,fdp2,green2,left2,other2
12,Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I,146108,146479,0,0.3898896707,0,0.2591507652,0.0154337887,0.03562433269,0.2217811482,0.07812029458,cducsu,spd,0.1307389055,0.05281303122,0.4033410933,0,0.2154984674,0.02254930741,0.04463438445,0.2039131889,0.05725052738
13,Ludwigslust-Parchim II - Nordwestmecklenburg II - Landkreis Rostock I,134812,135185,0,0.4296130908,0,0.22780613,0.01576269175,0.03442571878,0.2285553215,0.06383704715,cducsu,left,0.2010577693,0.05280171617,0.4210674261,0,0.1970706809,0.02223619484,0.04030032918,0.2130635795,0.05346007323
14,Rostock - Landkreis Rostock II,150151,150774,0,0.3507202749,0,0.1831356435,0.01069589946,0.07469813721,0.30742386,0.07332618497,cducsu,left,0.04329641494,0.05435950495,0.3792961651,0,0.192407179,0.01930704233,0.06548874474,0.2373884091,0.05175295475
15,Vorpommern-Rügen - Vorpommern-Greifswald I,154935,154976,0,0.5624423145,0,0.1399812825,0.007919450092,0.03051602285,0.1926420757,0.06649885436,cducsu,left,0.3698002388,0.06555208548,0.4496373632,0,0.14602261,0.02624277307,0.04756865579,0.2060319017,0.05894461078
16,Mecklenburgische Seenplatte I - Vorpommern-Greifswald II,146096,146360,0,0.4590748549,0,0.1565409046,0.01844677472,0.02299173146,0.2393768481,0.1035688862,cducsu,left,0.2196980068,0.0604673408,0.4493509156,0,0.1476018038,0.01988248155,0.02739819623,0.2163022684,0.07899699371
17,Mecklenburgische Seenplatte II - Landkreis Rostock III,133642,133969,0,0.4703012526,0,0.1872839377,0.01483814968,0.03055177265,0.2266054085,0.07041947891,cducsu,left,0.2436958441,0.05080279766,0.4509028208,0,0.1715396846,0.02068388956,0.03339578559,0.21511693,0.0575580918
18,Hamburg-Mitte,166020,166213,0.033279123,0.2816106493,0,0.391501024,0.01733526081,0.1201240814,0.09452475605,0.06162510541,spd,cducsu,0.1098903747,0.04323368208,0.270418078,0,0.3352385192,0.03885375993,0.1362408476,0.1090408091,0.06697430406
19,Hamburg-Altona,134403,134464,0.02302031949,0.3244644837,0,0.3490844698,0.01954569466,0.1367528999,0.1023712268,0.04476090563,spd,cducsu,0.02461998616,0.03213499524,0.294361316,0,0.2975443241,0.05468378153,0.1648545336,0.1080214779,0.04839957163
20,Hamburg-Eimsbüttel,141438,141640,0.0285213309,0.3330929453,0,0.375464868,0.0230772494,0.130085267,0.0687792531,0.04097908624,spd,cducsu,0.04237192268,0.03669161254,0.3105690483,0,0.314120305,0.05159559446,0.1558458063,0.08568907088,0.04548856255
21,Hamburg-Nord,162284,162438,0.03517290676,0.397198738,0,0.3476682852,0.02416134677,0.1191922802,0.04699169357,0.02961474945,cducsu,spd,0.04953045279,0.04137578645,0.3647176153,0,0.3018936456,0.06305174897,0.1253216612,0.0653480097,0.03829153277
22,Hamburg-Wandsbek,145193,145358,0.04150337826,0.3719325312,0,0.3996680281,0.01916759072,0.0641904224,0.06607756572,0.03746048363,spd,cducsu,0.02773549689,0.04879676385,0.3483881176,0,0.3463104886,0.04510243674,0.08714346648,0.07621183561,0.04804689112
23,Hamburg-Bergedorf - Harburg,140615,140716,0.03874408847,0.3558937524,0,0.404416314,0.01588735199,0.06463037372,0.07534758027,0.04508053906,spd,cducsu,0.0485225616,0.04707353819,0.3377370022,0,0.3503652747,0.03519144944,0.09178771426,0.08397765712,0.05386736405
24,Aurich - Emden,132039,132532,0,0.3236695219,0,0.5024879013,0.01579078909,0.09563083634,0.04826604261,0.01415490878,spd,cducsu,0.1788183794,0.03120755742,0.3246461232,0,0.438233785,0.03261853741,0.08321009266,0.04970874959,0.04037515468
25,Unterems,164863,165314,0,0.547339306,0,0.3118286092,0.02600947453,0.05120008735,0.03897781795,0.024644705,cducsu,spd,0.2355106968,0.02945908997,0.4876537982,0,0.3089816954,0.03954293042,0.05750269185,0.04095841852,0.03590137556
26,Friesland - Wilhelmshaven - Wittmund,131793,132402,0,0.3966447383,0,0.4414346741,0.02294507296,0.05586032642,0.05111045351,0.0320047347,spd,cducsu,0.04478993573,0.04138155013,0.3836497938,0,0.3626153683,0.04282412652,0.07349586864,0.05146447939,0.04456881316
27,Oldenburg - Ammerland,161795,162141,0.03400599524,0.3679038289,0,0.3742204642,0.02451250039,0.1146636175,0.05435273031,0.03034086344,spd,cducsu,0.006316635248,0.04214233291,0.3519590973,0,0.3259878748,0.05063494119,0.1243979006,0.06490030282,0.0399775504
28,Delmenhorst - Wesermarsch - Oldenburg-Land,160639,160787,0.03294343217,0.3973630314,0,0.3937773517,0.03276290316,0.06090675365,0.04527543125,0.03697109668,cducsu,spd,0.003585679692,0.03954921729,0.3894593468,0,0.3411221056,0.04997294557,0.0812192528,0.05481786463,0.04385926723
29,Cuxhaven - Stade II,135661,135967,0.02973588577,0.4675698985,0,0.3641061175,0.01379910217,0.06137357089,0.03614893005,0.02726649516,cducsu,spd,0.103463781,0.03495701163,0.4390697743,0,0.3348900836,0.03621466974,0.07054652967,0.04590084359,0.03842108747
30,Stade I - Rotenburg II,143970,144184,0.03911926096,0.4761061332,0,0.3411196777,0.01739945822,0.06320066681,0.03388205876,0.02917274432,cducsu,spd,0.1349864555,0.04529628808,0.4471508628,0,0.3093130999,0.04177301226,0.07774094213,0.0417591411,0.03696665372
31,Mittelems,168873,169238,0.02236591995,0.5904140982,0,0.2895844806,0.01582846281,0.04970007047,0.02690187301,0.005205094953,cducsu,spd,0.3008296175,0.02559117929,0.5608846713,0,0.2603966012,0.04155095191,0.05412496012,0.03017643792,0.02727519824
32,Cloppenburg - Vechta,152353,152564,0.02125327365,0.6630325625,0,0.212808412,0.01845713573,0.03742624038,0.0250799131,0.02194246257,cducsu,spd,0.4502241505,0.02343934349,0.6318725256,0,0.1977399649,0.0463608715,0.04252641514,0.02791615322,0.03014472615
33,Diepholz - Nienburg I,140854,141135,0.02535249265,0.4746901046,0,0.3341545146,0.01985744104,0.07561730586,0.0350220796,0.0353060616,cducsu,spd,0.14053559,0.03429340702,0.4350728026,0,0.3148120594,0.04909483828,0.08187905197,0.04505615191,0.03979168881
34,Osterholz - Verden,143421,143215,0.03136918582,0.4404794277,0,0.3741432566,0.009475599808,0.06783525425,0.05016699089,0.02653028497,cducsu,spd,0.06633617113,0.03831302587,0.3996997521,0,0.3310616905,0.03655343365,0.09571623084,0.05591593059,0.04273993646
35,Rotenburg I - Heidekreis,121506,121829,0,0.4481095584,0,0.4057495103,0.01725840699,0.04959425872,0.03915856007,0.04012970553,cducsu,spd,0.04236004806,0.03764292574,0.436373934,0,0.3120603469,0.04046655558,0.08480739397,0.04573623686,0.04291260701
36,Harburg,151403,151600,0.05748895332,0.452157487,0,0.3164270193,0.03375098248,0.07102897565,0.03614195227,0.03300463003,cducsu,spd,0.1357304677,0.05982189974,0.4281332454,0,0.2830804749,0.0486939314,0.09286279683,0.0438060686,0.04360158311
37,Lüchow-Dannenberg - Lüneburg,132199,132416,0.03725444217,0.3982178383,0,0.3365456622,0.0159759151,0.1204093828,0.05888092951,0.03271582992,cducsu,spd,0.06167217604,0.0441940551,0.3682032383,0,0.2901084461,0.03988188739,0.1426715805,0.06949311261,0.04544768004
38,Osnabrück-Land,143463,143733,0,0.5310010247,0,0.3231843751,0.01774673609,0.05806375163,0.03598140287,0.03402270969,cducsu,spd,0.2078166496,0.02824681875,0.4798619663,0,0.2936973416,0.04591151649,0.07685082758,0.04023432336,0.03519720593
39,Stadt Osnabrück,140921,141199,0,0.4571071735,0,0.3481312225,0.0279163503,0.08918472052,0.0414416588,0.0362188744,cducsu,spd,0.1089759511,0.02666449479,0.4302721691,0,0.3052358728,0.0416008612,0.1089951062,0.05090687611,0.03632461986
40,Nienburg II - Schaumburg,140309,140617,0,0.4158607074,0,0.4464503346,0.01389789678,0.05825000535,0.03313401136,0.03240704445,spd,cducsu,0.03058962718,0.03921289744,0.4002289908,0,0.3629930947,0.03550779778,0.08085793325,0.04271176316,0.03848752285
41,Stadt Hannover I,127979,127999,0.03165363067,0.3645129279,0,0.4353136061,0.0147602341,0.07716891052,0.05028168684,0.02630900382,spd,cducsu,0.07080067824,0.03635965906,0.335236994,0,0.355010586,0.04721130634,0.1227978344,0.06244580036,0.04093781983
42,Stadt Hannover II,139344,139290,0.02728499254,0.3385865197,0,0.4283356298,0.0147117924,0.1021141922,0.06212682283,0.02684005052,spd,cducsu,0.08974911012,0.03409433556,0.2992605356,0,0.3467011271,0.04295355015,0.1547778017,0.07989805442,0.04231459545
43,Hannover-Land I,175013,175141,0.03081485375,0.4428756721,0,0.3853428031,0.0257352311,0.04991057807,0.03554021701,0.02978064487,cducsu,spd,0.05753286899,0.04018476542,0.4127303144,0,0.3307163942,0.04981700458,0.08169417783,0.04528351443,0.03957382909
44,Celle - Uelzen,155496,155697,0.04238694243,0.4847005711,0,0.3423689355,0.01344729125,0.06149997428,0.03636749498,0.01922879045,cducsu,spd,0.1423316355,0.04959633134,0.4403938419,0,0.3014252041,0.04160645356,0.07752878989,0.04550505148,0.04394432776
45,Gifhorn - Peine,160153,160468,0,0.4206477556,0,0.4324552147,0.01414897005,0.04786672744,0.04252183849,0.04235949373,spd,cducsu,0.01180745912,0.03605703318,0.4016439415,0,0.3606638084,0.03519704863,0.07387765785,0.04720567341,0.0453548371
46,Hameln-Pyrmont - Holzminden,135764,135896,0.0366150084,0.395730827,0,0.4234112136,0.01838484429,0.060413659,0.04646297988,0.01898146784,spd,cducsu,0.02768038655,0.04084005416,0.3748233944,0,0.3635942191,0.04404103138,0.08409371873,0.05298905045,0.03961853182
47,Hannover-Land II,180896,181291,0,0.4188097028,0,0.4335806209,0.01419047408,0.05208517601,0.04063108084,0.04070294534,spd,cducsu,0.0147709181,0.03838028363,0.3841558599,0,0.3594717885,0.03986960191,0.08942528862,0.04781814872,0.04087902874
48,Hildesheim,162345,162997,0,0.4228833657,0,0.4126151098,0.01533154701,0.08482552589,0.04871723798,0.01562721365,cducsu,spd,0.01026825587,0.03436259563,0.3867617195,0,0.3639269434,0.03428897464,0.08949244465,0.0498168678,0.0413504543
49,Salzgitter - Wolfenbüttel,150391,149981,0.03024117135,0.3705008943,0,0.4659853316,0.0105192465,0.04408508488,0.04338025547,0.03528801591,spd,cducsu,0.09548443723,0.03959168161,0.3573319287,0,0.392589728,0.03428434268,0.07342930104,0.05641381242,0.0463592055
50,Braunschweig,142103,142285,0.02740265863,0.3498166823,0,0.4359654617,0.02282147456,0.07119483755,0.05009746452,0.0427014208,spd,cducsu,0.08614877941,0.03578732825,0.340295885,0,0.3355308009,0.04367291,0.1237937941,0.06695716344,0.05396211828
51,Helmstedt - Wolfsburg,131342,131775,0,0.4473816449,0,0.3869744636,0.01400161411,0.050752996,0.04363417642,0.05725510499,cducsu,spd,0.06040718125,0.03712388541,0.411216088,0,0.3478429141,0.0363953709,0.0683285904,0.04887118194,0.05022196927
52,Goslar - Northeim - Osterode,146830,147264,0,0.4203704965,0,0.4236804468,0.0153170333,0.05334740857,0.04634611455,0.04093850031,spd,cducsu,0.003309950283,0.03893008475,0.3787415797,0,0.3801675902,0.04141541721,0.06886272273,0.05075918079,0.0411234246
53,Göttingen,163840,164303,0,0.3818237305,0,0.4040039063,0.01607055664,0.1021728516,0.05237426758,0.0435546875,spd,cducsu,0.02218017578,0.03725434106,0.359092652,0,0.3311564609,0.04057746967,0.1221888827,0.06349244992,0.04623774368
54,Bremen I,182384,182696,0.02925695236,0.302647162,0,0.3792054128,0.02286933064,0.138948592,0.0832638828,0.04380866743,spd,cducsu,0.07655825072,0.03428099137,0.302436835,0,0.3311621491,0.03923457547,0.1392915006,0.1012720585,0.05232188992
55,Bremen II - Bremerhaven,146427,146716,0.03706966611,0.2872899124,0,0.4389627596,0.01494942873,0.08417163501,0.09106927001,0.04648732816,spd,cducsu,0.1516728472,0.04119523433,0.2808487145,0,0.3864745495,0.02750892881,0.0992802421,0.1007524742,0.06393985659
56,Prignitz - Ostprignitz-Ruppin - Havelland I,101748,102222,0,0.3352891457,0,0.2956225184,0.0127176947,0.0274206864,0.2409777096,0.08797224515,cducsu,spd,0.03966662735,0.04657510125,0.3649410107,0,0.250807067,0.02249026628,0.03455224903,0.2254700554,0.05516425036
57,Uckermark - Barnim I,98755,98919,0,0.3887803149,0,0.2352792264,0.01584729887,0.02860614652,0.259966584,0.07152042935,cducsu,left,0.128813731,0.04828192764,0.367745327,0,0.2272060979,0.02091610307,0.03619122717,0.2382959795,0.06136333768
58,Oberhavel - Havelland II,173719,174521,0,0.3746337476,0,0.2801535814,0.01479976284,0.04898715742,0.1959831682,0.08544258256,cducsu,spd,0.09448016625,0.06711513228,0.3621283399,0,0.2383839194,0.02933171366,0.05650322884,0.183490812,0.06304685396
59,Märkisch-Oderland - Barnim II,171171,171323,0,0.3400692874,0,0.2029841504,0.01102406366,0.03432824485,0.3294424873,0.08215176636,cducsu,left,0.0106268001,0.06409530536,0.3230155904,0,0.2178516603,0.0222737169,0.042101761,0.2626384082,0.06802355784
60,Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I,121742,121971,0,0.3283419034,0,0.331077196,0.01569713,0.02424799987,0.2379951044,0.06264066633,spd,cducsu,0.002735292668,0.04860991547,0.3401546269,0,0.262373843,0.02279230309,0.03753351206,0.22891507,0.05962072952
61,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,179139,179897,0,0.3259982472,0,0.3219231993,0.01786322353,0.07202786663,0.2004811906,0.06170627278,cducsu,spd,0.004075047868,0.05715492754,0.3137851104,0,0.2486033675,0.03279654469,0.09027943768,0.2073075149,0.05007309738
62,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,166002,166451,0,0.3703991518,0,0.2715509452,0.01198178335,0.03809592656,0.2185756798,0.0893965133,cducsu,spd,0.09884820665,0.0637124439,0.3476518615,0,0.226973704,0.02719118539,0.04460772239,0.2181422761,0.07172080672
63,Frankfurt (Oder) - Oder-Spree,132126,132830,0,0.3392367891,0,0.2443955013,0.01704433647,0.03929582368,0.2800962717,0.07993127772,cducsu,left,0.05914051738,0.0644583302,0.3335165249,0,0.2230746066,0.02199804261,0.03964465859,0.247398931,0.06990890612
64,Cottbus - Spree-Neiße,123231,123713,0,0.3594955815,0,0.2394689648,0.0202708734,0.02660044956,0.2002823965,0.1538817343,cducsu,spd,0.1200266167,0.06915198888,0.3575210366,0,0.21713967,0.02412034305,0.03542069144,0.2260473839,0.07059888613
65,Elbe-Elster - Oberspreewald-Lausitz II,116012,116515,0,0.409043892,0,0.2252525601,0.01797227873,0.02498879426,0.233915457,0.08882701789,cducsu,left,0.175128435,0.05931425138,0.3951765867,0,0.1985667081,0.0253186285,0.02664034674,0.2173196584,0.07766382011
66,Altmark,106038,106217,0,0.4214149644,0,0.175559705,0.01404213584,0.02827288331,0.303325223,0.05738508836,cducsu,left,0.1180897414,0.03602059934,0.4204129283,0,0.190139055,0.02144666108,0.03334682772,0.2464765527,0.05215737594
67,Börde - Jerichower Land,138838,139326,0,0.4457713306,0,0.2313343609,0.02654892753,0.0260087296,0.2143433354,0.05599331595,cducsu,spd,0.2144369697,0.03861447253,0.4321303992,0,0.1957926015,0.02867375795,0.03072649757,0.2170090292,0.05705324204
68,Harz,129944,130199,0,0.4600366312,0,0.1914286154,0.0142522933,0.03792402881,0.2297912947,0.06656713661,cducsu,left,0.2302453365,0.03781903087,0.4348650911,0,0.1874591971,0.02274211015,0.03622147636,0.2294564474,0.05143664698
69,Magdeburg,151568,152026,0,0.3631769239,0,0.2517219994,0.01378919033,0.04006782434,0.2522366199,0.0790074422,cducsu,left,0.110940304,0.04180206017,0.3748174654,0,0.208931367,0.02425243051,0.0558457106,0.2399129096,0.05443805665
70,Dessau - Wittenberg,118969,119047,0.04686094697,0.4458976708,0,0.1726920458,0.01251586548,0.04367524313,0.2186704099,0.05968781783,cducsu,left,0.2272272609,0.05082026427,0.4253194117,0,0.1709744891,0.02429292632,0.03950540543,0.2279435853,0.06114391795
71,Anhalt,137953,138169,0.04576921125,0.4096612614,0,0.1539944764,0.02013729314,0.02090567077,0.2878879039,0.06164418316,cducsu,left,0.1217733576,0.04802090194,0.4151220607,0,0.1680840131,0.02573659793,0.02585239815,0.256388915,0.06079511323
72,Halle,141147,141290,0.03378038499,0.362784898,0,0.2334941586,0.02095687475,0.03745031775,0.2550957512,0.05643761469,cducsu,left,0.1076891468,0.04160945573,0.3769905867,0,0.1787741525,0.03126902116,0.07208578102,0.2438176799,0.05545332295
73,Burgenland - Saalekreis,121639,121847,0,0.4484088163,0,0.1544817041,0.0154473483,0.03913218622,0.2573187876,0.08521115761,cducsu,left,0.1910900287,0.04295550978,0.4283568738,0,0.1629092222,0.02769046427,0.03062857518,0.2374535278,0.07000582698
74,Mansfeld,130411,130694,0,0.4194814855,0,0.1806596069,0.0188481033,0.02448413094,0.275912308,0.08061436535,cducsu,left,0.1435691774,0.04114955545,0.4121765345,0,0.1713850674,0.02935865457,0.02782836243,0.2571885473,0.06091327834
75,Berlin-Mitte,139292,139400,0.03023863538,0.2388148637,0,0.2825718634,0.01499009275,0.184411165,0.1665565862,0.0824167935,spd,cducsu,0.04375699968,0.03904591105,0.2262840746,0,0.2611406026,0.03682926829,0.1673529412,0.1870014347,0.08234576758
76,Berlin-Pankow,172647,172824,0.04105486918,0.239187475,0,0.2095605484,0.009157413682,0.1473642751,0.2833874901,0.07028792855,left,cducsu,0.04420001506,0.04844234597,0.2350194417,0,0.220050456,0.02534370226,0.1406054715,0.2515391381,0.07899944452
77,Berlin-Reinickendorf,130881,131056,0.04471237231,0.4496068948,0,0.2948709133,0.01990357653,0.0671602448,0.06500561579,0.05874038248,cducsu,spd,0.1547359815,0.0603253571,0.400935478,0,0.263787999,0.04355390062,0.08719173483,0.07930960811,0.06489592235
78,Berlin-Spandau - Charlottenburg Nord,127763,127846,0.04338501757,0.3919053247,0,0.3740519556,0.01399466199,0.04650798745,0.07200050093,0.05815455179,cducsu,spd,0.01785336913,0.05833581027,0.3657290803,0,0.2888788073,0.03798319854,0.08245858298,0.0950049278,0.07160959279
79,Berlin-Steglitz - Zehlendorf,172980,173437,0.04232281189,0.4246733726,0,0.2921725055,0.02662157475,0.1180252052,0.05261879986,0.04356573014,cducsu,spd,0.1325008672,0.05337384756,0.371892964,0,0.2558335303,0.06375225586,0.1354209309,0.07164561195,0.04808085933
80,Berlin-Charlottenburg - Wilmersdorf,151334,151665,0.03732802939,0.3705644469,0,0.3146616094,0.02511662944,0.1465367994,0.061902811,0.04388967449,cducsu,spd,0.05590283743,0.04797415356,0.3249596149,0,0.2707150628,0.06822272772,0.1537863053,0.0886559193,0.04568621633
81,Berlin-Tempelhof - Schöneberg,174159,174432,0.03669635218,0.3498297533,0,0.2621684782,0.01484275863,0.2036127906,0.07350180008,0.059348067,cducsu,spd,0.08766127504,0.04579434966,0.3168856632,0,0.274227206,0.040898459,0.1544498716,0.1028309026,0.06491354797
82,Berlin-Neukölln,137723,137957,0.03006033851,0.3056279634,0,0.3233156408,0.01351263042,0.1170901011,0.1172207983,0.09317252746,spd,cducsu,0.01768767744,0.04227404191,0.2902208659,0,0.2624803381,0.0298788753,0.1388548606,0.1426313996,0.09365961858
83,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,165731,165690,0.02006263161,0.1371077228,0,0.1798034164,0.009937790757,0.3985735921,0.1716094153,0.08290543109,green,spd,0.2187701758,0.02790150281,0.1537449454,0,0.2401110508,0.0216005794,0.2077373408,0.251306657,0.09759792383
84,Berlin-Treptow - Köpenick,146219,146281,0.03958445893,0.22593507,0,0.1784515008,0.009773011715,0.05022603082,0.4217030618,0.07432686587,left,cducsu,0.1957679918,0.05541389517,0.2540999856,0,0.2133154682,0.01985220227,0.07374163425,0.2947614523,0.08881536221
85,Berlin-Marzahn - Hellersdorf,130739,130732,0.0485471053,0.2566334453,0,0.1708824452,0.007174599775,0.03113837493,0.3890652368,0.09655879271,left,cducsu,0.1324317916,0.06363399933,0.2596686351,0,0.1920187865,0.01742496099,0.03876633112,0.3291160542,0.09937123275
86,Berlin-Lichtenberg,136292,136401,0.04275379333,0.2273647756,0,0.1954333343,0.006889619347,0.04217415549,0.4030464004,0.08233792152,left,cducsu,0.1756816247,0.05483830764,0.2308707414,0,0.2044413164,0.01552041407,0.05832801812,0.3457306031,0.09027059919
87,Aachen I,132971,133234,0.02226801333,0.4074196629,0,0.3527611284,0.02168141926,0.08972633131,0.06185559257,0.04428785224,cducsu,spd,0.05465853457,0.03114069982,0.3657324707,0,0.2734437156,0.06305447558,0.1312352703,0.07664710209,0.05874626597
88,Aachen II,161549,162268,0,0.4557193174,0,0.3567648206,0.02368940693,0.0563048982,0.0582981015,0.04922345542,cducsu,spd,0.09895449678,0.03289003377,0.4087558853,0,0.3259854069,0.0489806986,0.06298222693,0.06494194789,0.05546380063
89,Heinsberg,132316,132639,0.02299797455,0.5339414734,0,0.2829892077,0.02207593942,0.05676562169,0.04322984371,0.03799993954,cducsu,spd,0.2509522658,0.03507264078,0.4931958172,0,0.2630825021,0.04932938276,0.0553080165,0.05213398774,0.05187765288
90,Düren,142776,143471,0,0.5036070488,0,0.342137334,0.01906482882,0.04868465288,0.05104499356,0.03546114193,cducsu,spd,0.1614697148,0.03995232486,0.4428211973,0,0.2965686445,0.04950129294,0.0608415638,0.05659680354,0.05371817301
91,Rhein-Erft-Kreis I,176775,178735,0,0.4729062367,0,0.3602093056,0.03049073681,0.05556215528,0.04423702447,0.03659454108,cducsu,spd,0.1126969311,0.03726186813,0.422530562,0,0.3082160741,0.05726354659,0.06861554816,0.05184211262,0.05427028842
92,Euskirchen - Rhein-Erft-Kreis II,174278,175471,0,0.5092954934,0,0.3081456064,0.03500728721,0.05775829422,0.04685617232,0.0429371464,cducsu,spd,0.201149887,0.04093553921,0.4505302871,0,0.267747947,0.06617047831,0.07148759624,0.0517179477,0.05141020454
93,Köln I,131392,131602,0.02956801023,0.367084754,0,0.3701290794,0.024681868,0.1028449221,0.06532361179,0.04036775451,spd,cducsu,0.003044325377,0.04078205498,0.3333004058,0,0.3097141381,0.05497636814,0.1220042249,0.08137414325,0.05784866491
94,Köln II,182684,183019,0.02101442929,0.3996573318,0,0.3282991395,0.02606686957,0.1446541569,0.05211731733,0.02819075562,cducsu,spd,0.07135819229,0.03253760539,0.3546571667,0,0.2633059956,0.08125385889,0.1564974128,0.06933159945,0.04241636114
95,Köln III,139949,140346,0,0.3286840206,0,0.3931503619,0.0225653631,0.1289469735,0.07776404262,0.04888923822,spd,cducsu,0.06446634131,0.03215624243,0.3056873726,0,0.3152209539,0.04516694455,0.1489533011,0.09234320893,0.0604719764
96,Bonn,172871,173239,0.02534838116,0.3747187209,0,0.381527266,0.06025302104,0.08559561754,0.04351799897,0.02903899439,spd,cducsu,0.0068085451,0.04265205872,0.3627589631,0,0.2592314664,0.08322606342,0.1367244096,0.06342682652,0.05198021231
97,Rhein-Sieg-Kreis I,170402,170747,0.03238811751,0.4962148332,0,0.295014143,0.02448328071,0.06393704299,0.04663090809,0.04133167451,cducsu,spd,0.2012006901,0.04400662969,0.4344849397,0,0.2697851207,0.06322805086,0.0819926558,0.05561444711,0.05088815616
98,Rhein-Sieg-Kreis II,162445,162910,0.03113669242,0.5236110684,0,0.2714641879,0.03113669242,0.07222136723,0.03351903721,0.03691095448,cducsu,spd,0.2521468805,0.04519059603,0.4533791664,0,0.2429009883,0.08267141366,0.08668590019,0.0456264195,0.04354551593
99,Oberbergischer Kreis,148916,148946,0.02991619436,0.5224421822,0,0.3006594322,0.02166321953,0.05153912273,0.04279593865,0.03098391039,cducsu,spd,0.22178275,0.05026653955,0.4527614035,0,0.2697957649,0.05670511461,0.06946812939,0.05408000215,0.04692304594
