date,Facebook share price,Imaginary Inc share price
01/01/2014,54.649,27.3245
02/01/2014,54.71,27.355
03/01/2014,54.557,27.2785
06/01/2014,57.2,28.6
07/01/2014,57.92,28.96
08/01/2014,58.23,29.115
09/01/2014,57.22,28.61
10/01/2014,57.94,28.97
13/01/2014,55.91,27.955
14/01/2014,57.74,28.87
15/01/2014,57.6,28.8
16/01/2014,57.19,28.595
17/01/2014,56.3,28.15
20/01/2014,56.3,28.15
21/01/2014,58.51,29.255
22/01/2014,57.51,28.755
23/01/2014,56.63,28.315
24/01/2014,54.45,27.225
27/01/2014,53.55,26.775
28/01/2014,55.14,27.57
29/01/2014,53.53,26.765
30/01/2014,61.08,30.54
31/01/2014,62.57,31.285
03/02/2014,61.48,30.74
04/02/2014,62.75,31.375
05/02/2014,62.19,31.095
06/02/2014,62.16,31.08
07/02/2014,64.32,32.16
10/02/2014,63.548,31.774
11/02/2014,64.851,32.4255
12/02/2014,64.45,32.225
13/02/2014,67.33,33.665
14/02/2014,67.09,33.545
17/02/2014,67.09,33.545
18/02/2014,67.3,33.65
19/02/2014,68.06,34.03
20/02/2014,69.63,34.815
21/02/2014,68.59,34.295
24/02/2014,70.78,35.39
25/02/2014,69.85,34.925
26/02/2014,69.26,34.63
27/02/2014,68.94,34.47
28/02/2014,68.46,34.23
03/03/2014,67.41,33.705
04/03/2014,68.8,34.4
05/03/2014,71.57,35.785
06/03/2014,70.84,35.42
07/03/2014,69.8,34.9
10/03/2014,72.03,36.015
11/03/2014,70.1,35.05
12/03/2014,70.8799,35.43995
13/03/2014,68.83,34.415
14/03/2014,67.72,33.86
17/03/2014,68.7399,34.36995
18/03/2014,69.19,34.595
19/03/2014,68.24,34.12
20/03/2014,66.97,33.485
21/03/2014,67.24,33.62
24/03/2014,64.1,32.05
25/03/2014,64.89,32.445
26/03/2014,60.385,30.1925
27/03/2014,60.97,30.485
28/03/2014,60.01,30.005
31/03/2014,60.24,30.12
01/04/2014,62.62,31.31
02/04/2014,62.72,31.36
03/04/2014,59.49,29.745
04/04/2014,56.749,28.3745
07/04/2014,56.95,28.475
08/04/2014,58.1901,29.09505
09/04/2014,62.41,31.205
10/04/2014,59.16,29.58
11/04/2014,58.53,29.265
14/04/2014,58.89,29.445
15/04/2014,59.09,29.545
16/04/2014,59.72,29.86
17/04/2014,58.94,29.47
18/04/2014,58.94,29.47
21/04/2014,61.24,30.62
22/04/2014,63.0301,31.51505
23/04/2014,61.36,30.68
24/04/2014,60.87,30.435
25/04/2014,57.71,28.855
