date,GDP - quarterly change  %
01/01/2000,1.01
01/04/2000,0.73
01/07/2000,0.29
01/10/2000,0.15
01/01/2001,1.31
01/04/2001,0.69
01/07/2001,0.68
01/10/2001,0.4
01/01/2002,0.42
01/04/2002,0.73
01/07/2002,0.76
01/10/2002,0.87
01/01/2003,0.82
01/04/2003,0.91
01/07/2003,1
01/10/2003,0.83
01/01/2004,0.56
01/04/2004,0.47
01/07/2004,0.19
01/10/2004,0.6
01/01/2005,0.58
01/04/2005,1.08
01/07/2005,1.09
01/10/2005,1.36
01/01/2006,0.33
01/04/2006,0.23
01/07/2006,0.14
01/10/2006,0.36
01/01/2007,1.01
01/04/2007,0.74
01/07/2007,0.76
01/10/2007,0.75
01/01/2008,0.15
01/04/2008,-0.65
01/07/2008,-1.69
01/10/2008,-2.26
01/01/2009,-1.63
01/04/2009,-0.23
01/07/2009,0.07
01/10/2009,0.41
01/01/2010,0.55
01/04/2010,1.01
01/07/2010,0.56
01/10/2010,0.12
01/01/2011,0.56
01/04/2011,0.07
01/07/2011,0.43
01/10/2011,0.25
01/01/2012,0.44
01/04/2012,-0.09
01/07/2012,1.14
01/10/2012,-0.23
01/01/2013,0.63
01/04/2013,0.52
01/07/2013,0.76
01/10/2013,0.49
01/01/2014,0.85
01/04/2014,0.93
01/07/2014,0.81
01/10/2014,0.83
01/01/2015,0.26
01/04/2015,0.42
01/07/2015,0.44
01/10/2015,0.68
01/01/2016,0.45
01/04/2016,0.59
