name,group,var a,var b,var c,label
point 1,series 1,10,8.04,38.7,
point 2,series 1,8,6.95,37.9,
point 3,series 1,13,7.58,30.0,
point 4,series 1,9,8.81,22.0,
point 5,series 1,11,8.33,70.4,
point 6,series 1,14,9.96,23.2,
point 7,series 1,6,7.24,27.5,
point 8,series 1,4,4.26,64.6,
point 9,series 1,12,10.84,43.3,yes
point 10,series 1,7,4.82,47.4,
point 11,series 1,5,5.68,43.3,
point 1,series 2,10,9.14,90.8,
point 2,series 2,8,8.14,87.1,
point 3,series 2,13,8.74,20.8,
point 4,series 2,9,8.77,11.2,
point 5,series 2,11,9.26,50.1,
point 6,series 2,14,8.1,1.1,
point 7,series 2,6,6.13,45.9,
point 8,series 2,4,3.1,90.2,
point 9,series 2,12,9.13,55.2,
point 10,series 2,7,7.26,36.4,
point 11,series 2,5,4.74,36.4,
point 1,series 3,10,7.46,89.0,
point 2,series 3,8,6.77,89.3,
point 3,series 3,13,12.74,25.6,yes
point 4,series 3,9,7.11,76.3,
point 5,series 3,11,7.81,17.7,
point 6,series 3,14,8.84,11.2,
point 7,series 3,6,6.08,37.7,
point 8,series 3,4,5.39,3.4,
point 9,series 3,12,8.15,39.5,
point 10,series 3,7,6.42,41.3,
point 11,series 3,5,5.73,70.7,
point 1,series 4,8,6.58,60.6,
point 2,series 4,8,5.76,39.2,
point 3,series 4,8,7.71,27.7,
point 4,series 4,8,8.84,66.7,
point 5,series 4,8,8.47,30.8,
point 6,series 4,8,7.04,27.2,
point 7,series 4,8,5.25,56.1,
point 8,series 4,19,12.5,67.2,yes
point 9,series 4,8,5.56,68.9,
point 10,series 4,8,7.91,5.9,
point 11,series 4,8,6.89,80.4,
