name,medianPayDiff,section,clean_name,highlight
1LIFE MANAGEMENT SOLUTIONS LIMITED,2.8,"Arts, entertainment and recreation",1life Management Solutions,
3M UNITED KINGDOM PUBLIC LIMITED COMPANY,8,Manufacturing,3m United Kingdom Public  Company,
6Cats UK Ltd.,4,"Professional, scientific and technical activities",6cats Uk,
A & P FALMOUTH LIMITED,29,Manufacturing,A & P Falmouth,
A F A RESTAURANTS LIMITED,0.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,A F A Restaurants,
A J W AVIATION LTD,0.1,Transportation and storage,A J W Aviation,
A KHAN RESTAURANTS LIMITED,0,Accommodation and food service activities,A Khan Restaurants,
A.J.N. STEELSTOCK LTD.,-9.5,Wholesale and retail trade; repair of motor vehicles and motorcycles,A.j.n. Steelstock .,
A3D2 LIMITED,-7,Accommodation and food service activities,A3d2,
ABBOTSFORD CARE (GLENROTHES) LIMITED,0,Human health and social work activities,Abbotsford Care (glenrothes),
ABC TEACHERS LIMITED,7.8,Administrative and support service activities,Abc Teachers,
ABC TEACHERS LIMITED,7.8,Education,Abc Teachers,
Aberdeen Asset Management PLC,20,Financial and insurance activities,Aberdeen Asset Management,
ABERDEEN ASSET MANAGERS LIMITED,37,Financial and insurance activities,Aberdeen Asset Managers,
Aberlour Child Care Trust,0,Other service activities,Aberlour Child Care Trust,
ABINGDON FLOORING LIMITED,6.8,Manufacturing,Abingdon Flooring,
Academies Enterprise Trust,34.6,Public Sector,Academies Enterprise Trust,
Academies Enterprise Trust,34.6,Education,Academies Enterprise Trust,
ACCENTURE (UK) LIMITED,10.2,"Professional, scientific and technical activities",Accenture,
ACCESSIBLE TRANSPORT GROUP CONTRACT SERVICES LIMITED,0,Transportation and storage,Accessible Transport Group Contract Services,
ACCIDENT EXCHANGE LIMITED,3.7,Administrative and support service activities,Accident Exchange,
Accrington & Rossendale College,7.9,Public Sector,Accrington & Rossendale College,
Accrington & Rossendale College,7.9,Education,Accrington & Rossendale College,
ACENTA STEEL LIMITED,3.4,Manufacturing,Acenta Steel,
ACHILLES INFORMATION LIMITED,5,Information and communication,Achilles Information,
ACI WORLDWIDE (EMEA) LIMITED,20.3,Information and communication,Aci Worldwide (emea),
ACI WORLDWIDE (EMEA) LIMITED,20.3,"Professional, scientific and technical activities",Aci Worldwide (emea),
Acorn Education Trust,40.9,Public Sector,Acorn Education Trust,
Acorn Education Trust,40.9,Education,Acorn Education Trust,
Acorns Children's Hospice Trust,2.4,Human health and social work activities,Acorns Children's Hospice Trust,
