date,level,highlight,annotate,type
19/04/2018 10:10,3,begin,,
19/04/2018 15:48,4,,,
19/04/2018 19:30,5,,,
20/04/2018 10:42,4,,,
20/04/2018 13:00,5,,RHS to right thigh,arrow
20/04/2018 16:15,4,,,
20/04/2018 23:15,2,end,,
21/04/2018 12:20,3,,,
21/04/2018 19:20,2,,,
22/04/2018 08:20,3,,,
22/04/2018 12:00,3,,,
22/04/2018 23:15,2,,,
23/04/2018 08:30,2,,,
23/04/2018 18:20,1,,,
23/04/2018 20:40,3,,,
24/04/2018 09:30,3,begin,,
24/04/2018 12:15,4,,,
24/04/2018 16:25,3,,,
25/04/2018 08:20,4,,,
25/04/2018 14:40,2,,,
25/04/2018 18:30,2,,,
26/04/2018 10:00,3,,,
26/04/2018 11:40,4,,,
26/04/2018 15:15,3,,,
26/04/2018 18:00,3,,,
27/04/2018 10:00,3,,,
27/04/2018 14:30,4,,,
27/04/2018 17:30,3,end,,
28/04/2018 14:30,4,,,
28/04/2018 16:50,5,,,
28/04/2018 17:40,6,,,
28/04/2018 19:20,7,,,
28/04/2018 23:30,8,,,
29/04/2018 07:00,7,,,
29/04/2018 07:45,7,,,
29/04/2018 11:20,7,,,
29/04/2018 14:00,7,,,
29/04/2018 18:50,7,,,
30/04/2018 10:00,7,,,
30/04/2018 11:15,7,,,
30/04/2018 15:00,6,,,
01/05/2018 11:30,6,,,
01/05/2018 15:40,6,,,
02/05/2018 12:00,6,,,
02/05/2018 16:00,6,,,
03/05/2018 11:30,6,,,
03/05/2018 21:00,6,,,
04/05/2018 10:50,6,,,
05/05/2018 20:30,6,,,
06/05/2018 19:00,5,,,
07/05/2018 17:30,5,,,
08/05/2018 09:40,5,,,
08/05/2018 21:30,5,,,
09/05/2018 11:00,4,begin,,
09/05/2018 16:00,5,,,
10/05/2018 18:00,5,,,
11/05/2018 11:00,4,,,
11/05/2018 16:15,5,end,,
13/05/2018 15:20,5,,,
14/05/2018 10:00,5,,,
14/05/2018 16:45,5,,,
16/05/2018 15:00,4,begin,,
17/05/2018 10:15,4,,,
18/05/2018 16:00,4,end,,
20/05/2018 10:30,3,,RHS with some extra text to wrap,arrow
20/05/2018 19:15,3,,,
21/05/2018 20:00,3,,,
22/05/2018 15:15,3,,,
23/05/2018 09:00,3,begin,,
24/05/2018 09:45,3,,,
25/05/2018 11:00,3,end,,
26/05/2018 17:00,3,,,
28/05/2018 10:00,3,,,
