ons_id,ons_name,ft_name,region_code,region_name,2010,2011,2012
N09000011,Aberavon,Aberavon,W08000001,Wales,0.9,0.5,0.1
E06000001,Aberconwy,Aberconwy,W08000001,Wales,0.9,0.5,0.1
S12000005,Aberdeen North,Aberdeen North,S92000003,Scotland,0.9,0.5,0.1
S12000006,Aberdeen South,Aberdeen South,S92000003,Scotland,0.9,0.5,0.1
S12000008,West Aberdeenshire and Kincardine,West Aberdeenshire and Kincardine,S92000003,Scotland,0.9,0.5,0.1
E06000002,Airdrie and Shotts,Airdrie and Shotts,S92000003,Scotland,0.9,0.5,0.1
E06000003,Aldershot,Aldershot,E15000008,South East,0.9,0.5,0.1
S12000010,Aldridge-Brownhills,Aldridge-Brownhills,E15000005,West Midlands,0.9,0.5,0.1
E06000004,Altrincham and Sale West,Altrincham and Sale West,E15000002,North West,0.9,0.5,0.1
E06000005,Alyn and Deeside,Alyn and Deeside,W08000001,Wales,0.9,0.5,0.1
S12000011,Amber Valley,Amber Valley,E15000004,East Midlands,0.9,0.5,0.1
S12000013,Angus,Angus,S92000003,Scotland,0.9,0.5,0.1
E06000006,East Antrim,East Antrim,N92000002,Northern Ireland,0.9,0.5,0.1
E06000007,North Antrim,North Antrim,N92000002,Northern Ireland,0.9,0.5,0.1
S12000014,South Antrim,South Antrim,N92000002,Northern Ireland,0.9,0.5,0.1
E07000004,Arfon,Arfon,W08000001,Wales,0.9,0.5,0.1
S12000015,Argyll and Bute,Argyll and Bute,S92000003,Scotland,0.9,0.5,0.1
E06000008,Arundel and South Downs,Arundel and South Downs,E15000008,South East,0.9,0.5,0.1
E07000005,Ashfield,Ashfield,E15000004,East Midlands,0.9,0.5,0.1
S12000017,Ashford,Ashford,E15000008,South East,0.9,0.5,0.1
E06000009,Ashton-under-Lyne,Ashton-under-Lyne,E15000002,North West,0.9,0.5,0.1
E07000006,Aylesbury,Aylesbury,E15000008,South East,0.9,0.5,0.1
S12000018,"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",S92000003,Scotland,0.9,0.5,0.1
E06000010,Central Ayrshire,Central Ayrshire,S92000003,Scotland,0.9,0.5,0.1
E07000007,North Ayrshire and Arran,North Ayrshire and Arran,S92000003,Scotland,0.9,0.5,0.1
S12000019,Banbury,Banbury,E15000008,South East,0.9,0.5,0.1
E06000011,Banff and Buchan,Banff and Buchan,S92000003,Scotland,0.9,0.5,0.1
E07000008,Barking,Barking,E15000007,London,0.9,0.5,0.1
S12000020,Barnsley Central,Barnsley Central,E15000003,Yorkshire and The Humber,0.9,0.5,0.1
E06000012,Barnsley East,Barnsley East,E15000003,Yorkshire and The Humber,0.9,0.5,0.1
E07000009,Barrow and Furness,Barrow and Furness,E15000002,North West,0.9,0.5,0.1
S12000021,Basildon and Billericay,Basildon and Billericay,E15000006,Eastern,0.9,0.5,0.1
E06000013,South Basildon and East Thurrock,South Basildon and East Thurrock,E15000006,Eastern,0.9,0.5,0.1
E07000010,Basingstoke,Basingstoke,E15000008,South East,0.9,0.5,0.1
S12000023,Bassetlaw,Bassetlaw,E15000004,East Midlands,0.9,0.5,0.1
E06000014,Bath,Bath,E15000009,South West,0.9,0.5,0.1
E07000011,Batley and Spen,Batley and Spen,E15000003,Yorkshire and The Humber,0.9,0.5,0.1
S12000024,Battersea,Battersea,E15000007,London,0.9,0.5,0.1
E06000015,Beaconsfield,Beaconsfield,E15000008,South East,0.9,0.5,0.1
E07000012,Beckenham,Beckenham,E15000007,London,0.9,0.5,0.1
S12000026,Bedford,Bedford,E15000006,Eastern,0.9,0.5,0.1
E06000016,Mid Bedfordshire,Mid Bedfordshire,E15000006,Eastern,0.9,0.5,0.1
E07000026,North East Bedfordshire,North East Bedfordshire,E15000006,Eastern,0.9,0.5,0.1
S12000027,South West Bedfordshire,South West Bedfordshire,E15000006,Eastern,0.9,0.5,0.1
E06000017,Belfast East,Belfast East,N92000002,Northern Ireland,0.9,0.5,0.1
E07000027,Belfast North,Belfast North,N92000002,Northern Ireland,0.9,0.5,0.1
S12000028,Belfast South,Belfast South,N92000002,Northern Ireland,0.9,0.5,0.1
