date,name,value
30/12/17,CDU/CSU,37
27/11/17,CDU/CSU,32
24/11/17,CDU/CSU,33
23/11/17,CDU/CSU,33
22/11/17,CDU/CSU,32
20/11/17,CDU/CSU,30
20/11/17,CDU/CSU,32
20/11/17,CDU/CSU,31
19/11/17,CDU/CSU,31
17/11/17,CDU/CSU,32
16/11/17,CDU/CSU,33
15/11/17,CDU/CSU,31
15/11/17,CDU/CSU,31
13/11/17,CDU/CSU,32
10/11/17,CDU/CSU,32
08/11/17,CDU/CSU,30
08/11/17,CDU/CSU,30
06/11/17,CDU/CSU,31
03/11/17,CDU/CSU,32
30/10/17,CDU/CSU,31
28/10/17,CDU/CSU,31
27/10/17,CDU/CSU,33
26/10/17,CDU/CSU,33
25/10/17,CDU/CSU,31
23/10/17,CDU/CSU,33
20/10/17,CDU/CSU,31
19/10/17,CDU/CSU,33
18/10/17,CDU/CSU,32
18/10/17,CDU/CSU,31
18/10/17,CDU/CSU,31
16/10/17,CDU/CSU,32
13/10/17,CDU/CSU,32
12/10/17,CDU/CSU,31
11/10/17,CDU/CSU,31
11/10/17,CDU/CSU,32
09/10/17,CDU/CSU,32
06/10/17,CDU/CSU,32
04/10/17,CDU/CSU,32
29/09/17,CDU/CSU,32
28/09/17,CDU/CSU,31
28/09/17,CDU/CSU,32
27/09/17,CDU/CSU,33
22/09/17,CDU/CSU,34
21/09/17,CDU/CSU,36
21/09/17,CDU/CSU,35
21/09/17,CDU/CSU,36
20/09/17,CDU/CSU,36
20/09/17,CDU/CSU,37
18/09/17,CDU/CSU,36
15/09/17,CDU/CSU,36
14/09/17,CDU/CSU,36.5
14/09/17,CDU/CSU,36
13/09/17,CDU/CSU,36
13/09/17,CDU/CSU,37
11/09/17,CDU/CSU,36.5
08/09/17,CDU/CSU,37
07/09/17,CDU/CSU,38
07/09/17,CDU/CSU,37
06/09/17,CDU/CSU,37
06/09/17,CDU/CSU,37
06/09/17,CDU/CSU,38
04/09/17,CDU/CSU,36.5
01/09/17,CDU/CSU,38
31/08/17,CDU/CSU,38.5
31/08/17,CDU/CSU,39
30/08/17,CDU/CSU,38
30/08/17,CDU/CSU,37
28/08/17,CDU/CSU,37
25/08/17,CDU/CSU,38
24/08/17,CDU/CSU,39
23/08/17,CDU/CSU,38
23/08/17,CDU/CSU,38
21/08/17,CDU/CSU,38
18/08/17,CDU/CSU,38
17/08/17,CDU/CSU,39.5
16/08/17,CDU/CSU,39
15/08/17,CDU/CSU,40
14/08/17,CDU/CSU,37
11/08/17,CDU/CSU,39
10/08/17,CDU/CSU,40
09/08/17,CDU/CSU,38
08/08/17,CDU/CSU,39
07/08/17,CDU/CSU,37
04/08/17,CDU/CSU,40
02/08/17,CDU/CSU,38
31/07/17,CDU/CSU,37
28/07/17,CDU/CSU,40
26/07/17,CDU/CSU,38
26/07/17,CDU/CSU,40
24/07/17,CDU/CSU,37.5
21/07/17,CDU/CSU,40
20/07/17,CDU/CSU,40
19/07/17,CDU/CSU,38
17/07/17,CDU/CSU,36
14/07/17,CDU/CSU,40
12/07/17,CDU/CSU,39.5
12/07/17,CDU/CSU,38
10/07/17,CDU/CSU,36
07/07/17,CDU/CSU,39
06/07/17,CDU/CSU,40
05/07/17,CDU/CSU,38
05/07/17,CDU/CSU,39
05/07/17,CDU/CSU,39
03/07/17,CDU/CSU,36
30/06/17,CDU/CSU,39
28/06/17,CDU/CSU,40
26/06/17,CDU/CSU,37
24/06/17,CDU/CSU,39
23/06/17,CDU/CSU,40
22/06/17,CDU/CSU,39
21/06/17,CDU/CSU,39
19/06/17,CDU/CSU,36
16/06/17,CDU/CSU,39
15/06/17,CDU/CSU,40
13/06/17,CDU/CSU,39
13/06/17,CDU/CSU,39
12/06/17,CDU/CSU,37
09/06/17,CDU/CSU,38
07/06/17,CDU/CSU,39
07/06/17,CDU/CSU,38
06/06/17,CDU/CSU,38
02/06/17,CDU/CSU,39
01/06/17,CDU/CSU,39
31/05/17,CDU/CSU,38
31/05/17,CDU/CSU,39
29/05/17,CDU/CSU,35
26/05/17,CDU/CSU,38
23/05/17,CDU/CSU,38
22/05/17,CDU/CSU,36.5
19/05/17,CDU/CSU,37
19/05/17,CDU/CSU,39
18/05/17,CDU/CSU,38
17/05/17,CDU/CSU,38
17/05/17,CDU/CSU,38
15/05/17,CDU/CSU,36
12/05/17,CDU/CSU,38
10/05/17,CDU/CSU,37
10/05/17,CDU/CSU,37
08/05/17,CDU/CSU,35
05/05/17,CDU/CSU,36
03/05/17,CDU/CSU,36
03/05/17,CDU/CSU,36
02/05/17,CDU/CSU,34
28/04/17,CDU/CSU,36
27/04/17,CDU/CSU,37
26/04/17,CDU/CSU,36
24/04/17,CDU/CSU,34
21/04/17,CDU/CSU,36
19/04/17,CDU/CSU,36
19/04/17,CDU/CSU,35
18/04/17,CDU/CSU,34
13/04/17,CDU/CSU,36
13/04/17,CDU/CSU,36
12/04/17,CDU/CSU,35
12/04/17,CDU/CSU,34
10/04/17,CDU/CSU,33
07/04/17,CDU/CSU,36
06/04/17,CDU/CSU,35
05/04/17,CDU/CSU,35
03/04/17,CDU/CSU,32
31/03/17,CDU/CSU,36
29/03/17,CDU/CSU,33
27/03/17,CDU/CSU,32
24/03/17,CDU/CSU,34
22/03/17,CDU/CSU,33
22/03/17,CDU/CSU,32
22/03/17,CDU/CSU,34
20/03/17,CDU/CSU,31
19/03/17,CDU/CSU,34
17/03/17,CDU/CSU,34
15/03/17,CDU/CSU,33
13/03/17,CDU/CSU,31
10/03/17,CDU/CSU,33
09/03/17,CDU/CSU,34
08/03/17,CDU/CSU,33
08/03/17,CDU/CSU,32
06/03/17,CDU/CSU,30.5
03/03/17,CDU/CSU,33
01/03/17,CDU/CSU,33
27/02/17,CDU/CSU,30.5
24/02/17,CDU/CSU,33
22/02/17,CDU/CSU,32
22/02/17,CDU/CSU,31
20/02/17,CDU/CSU,31.5
17/02/17,CDU/CSU,34
16/02/17,CDU/CSU,34
15/02/17,CDU/CSU,33
15/02/17,CDU/CSU,32
13/02/17,CDU/CSU,30
10/02/17,CDU/CSU,34
08/02/17,CDU/CSU,33
08/02/17,CDU/CSU,33
06/02/17,CDU/CSU,30
03/02/17,CDU/CSU,34
02/02/17,CDU/CSU,33
01/02/17,CDU/CSU,34
30/01/17,CDU/CSU,32.5
27/01/17,CDU/CSU,35
26/01/17,CDU/CSU,36
25/01/17,CDU/CSU,37
25/01/17,CDU/CSU,35
23/01/17,CDU/CSU,32.5
20/01/17,CDU/CSU,37
19/01/17,CDU/CSU,36
18/01/17,CDU/CSU,36
16/01/17,CDU/CSU,33.5
13/01/17,CDU/CSU,38
12/01/17,CDU/CSU,36
11/01/17,CDU/CSU,37
09/01/17,CDU/CSU,32
06/01/17,CDU/CSU,37
05/01/17,CDU/CSU,38
04/01/17,CDU/CSU,36
04/01/17,CDU/CSU,37
02/01/17,CDU/CSU,32
30/12/16,CDU/CSU,38
23/12/16,CDU/CSU,38
23/12/16,CDU/CSU,31.5
21/12/16,CDU/CSU,36
19/12/16,CDU/CSU,33
16/12/16,CDU/CSU,36
15/12/16,CDU/CSU,35.5
14/12/16,CDU/CSU,36
14/12/16,CDU/CSU,36
12/12/16,CDU/CSU,32
09/12/16,CDU/CSU,37
08/12/16,CDU/CSU,36
07/12/16,CDU/CSU,36
07/12/16,CDU/CSU,35
05/12/16,CDU/CSU,32
02/12/16,CDU/CSU,36
30/11/16,CDU/CSU,37
28/11/16,CDU/CSU,32.5
25/11/16,CDU/CSU,37
24/11/16,CDU/CSU,36
23/11/16,CDU/CSU,35
21/11/16,CDU/CSU,31.5
18/11/16,CDU/CSU,36
16/11/16,CDU/CSU,33
16/11/16,CDU/CSU,32
14/11/16,CDU/CSU,30
11/11/16,CDU/CSU,35
10/11/16,CDU/CSU,34
10/11/16,CDU/CSU,34
09/11/16,CDU/CSU,34
07/11/16,CDU/CSU,30.5
04/11/16,CDU/CSU,34
02/11/16,CDU/CSU,34
02/11/16,CDU/CSU,33
02/11/16,CDU/CSU,33
02/11/16,CDU/CSU,30.5
28/10/16,CDU/CSU,34
27/10/16,CDU/CSU,33
26/10/16,CDU/CSU,34
24/10/16,CDU/CSU,30.5
21/10/16,CDU/CSU,35
19/10/16,CDU/CSU,33
19/10/16,CDU/CSU,33
17/10/16,CDU/CSU,29.5
14/10/16,CDU/CSU,34
13/10/16,CDU/CSU,33
